Error(micrometer), Surface0, Surface1, Surface2, Surface3,Surface4, Surface5, Surface6, Surface7, Surface8, totalStdDeviation, TotalMean,
CV0,1.0277, 2.9717, 2.8991, 2.5270, 3.1183, 1.5009, 2.5892, 1.5466, 1.2636, 0.9881571531295776,  2.160457134246826,
CV1,0.9242, 2.8337, 2.3255, 2.3878, 2.9070, 1.2594, 2.7502, 1.6587, 1.1253, 0.8148196339607239, 2.019092559814453,
CV2,1.1448, 3.1013, 2.7401, 2.5027, 2.9838, 1.3249, 2.6064, 1.6657, 1.2819, 0.8666604161262512, 2.15016770362854,
CV3,1.0444, 3.1325, 2.7502, 2.1961, 2.4697, 2.5186, 3.7787, 1.6613, 1.3668, 1.538432240486145, 2.3242485523223877,
CV4,0.9338, 3.3748, 2.8589, 2.6442, 2.9990, 1.5227, 2.6696, 1.4614, 1.2721, 0.9579789638519287, 2.192950963973999,
CV5,0.9336, 2.9447, 2.2988, 2.2961, 2.4235, 1.2243, 2.4619, 1.4099, 1.1992, 0.7368082404136658, 1.910221815109253,
CV6,1.0042, 2.6217, 2.3991, 2.1859, 2.5918, 1.3071, 2.8253, 1.5100, 1.1774, 0.7464631795883179, 1.958055019378662,
CV7,0.9936, 2.7479, 2.6015, 2.4974, 2.6378, 1.2698, 2.8727, 1.3831, 1.1645, 0.8926709890365601, 2.0186996459960938,
CV8,0.9259, 3.0914, 2.4603, 2.2445, 2.4688, 1.2057, 2.6317, 1.4208, 1.1207, 0.772925853729248, 1.9521963596343994,
CV9,0.9199, 3.0723, 2.5827, 2.3841, 2.4552, 1.2489, 3.0223, 1.6287, 1.1552, 0.8183929920196533, 2.0521445274353027,
Avg,0.98521,2.9892,	2.59162,2.38658,2.70549,1.43823,2.8208, 1.53462,1.21267,0.913330966234207,2.07382342815399,
