Error(micrometer), Surface0, Surface1, Surface2, Surface3,Surface4, Surface5, Surface6, Surface7, Surface8, Surface9,totalStdDeviation, TotalMean
CV0,1.4065, 3.6208, 5.1465, 3.8305, 3.5793, 3.7630, 1.8820, 3.2182, 2.3299,1.7532, 1.439399003982544, 3.052969455718994
CV1,1.2445, 3.2610, 3.8541, 2.7217, 3.0845, 3.6205, 2.4246, 2.8992, 2.4275,1.9350, 1.0019019842147827, 2.7472708225250244
CV2,1.8000, 3.3759, 3.8926, 3.5168, 3.0931, 3.1056, 1.7359, 3.5717, 1.7829, 1.6277, 1.1658110618591309, 2.7502307891845703 
CV3,1.3119, 3.9430, 4.2521, 3.1411, 3.1424, 3.7058, 1.7793, 2.5942, 1.8985, 1.5842, 1.2074066400527954, 2.735259771347046
CV4,1.5626, 3.6321, 4.3575, 2.8734, 2.6919, 3.4473, 1.6099, 3.0945, 2.0032, 1.7758, 0.9918838739395142, 2.704815626144409
CV5,1.3107, 3.6185, 5.0926, 3.1604, 3.1469, 3.3946, 1.9016, 3.6776, 1.9521, 1.5905, 1.2329158782958984, 2.884554147720337 
CV6,1.4020, 3.0776, 4.7306, 2.9268, 2.4686, 2.8271, 1.4479, 4.0234, 1.9348, 1.5710, 1.1995371580123901, 2.640977382659912  
CV7,1.5094, 3.2156, 4.0532, 2.7007, 2.7241, 3.0078, 1.9211, 2.9486, 2.1769, 1.5191, 0.840952455997467, 2.577651023864746
CV8,1.9535, 3.7166, 5.0866, 3.7048, 3.0257, 3.9440, 3.1542, 3.7377, 2.9703, 1.9285, 1.5898088216781616, 3.3221869468688965
CV9,1.0040, 2.8691, 5.0228, 2.3226, 2.1510, 2.4934, 1.4313, 2.7788, 2.3209, 1.3679, 1.142386794090271, 2.3761534690856934
Avg,
