Mean, Surface0, Surface1, Surface2, Surface3, Surface4, Surface5, Surface6, Surface7, Surface8, Surface9, Surface10, TotalStd, TotalMean
CV0, 1.8404, 4.2833, 5.7992, 4.7526, 3.9920, 4.1561, 3.3091, 4.0271, 3.2395, 3.3488, 2.4682, 3.9798717498779297, 3.746938705444336
CV1, 1.9514, 3.6272, 4.6211, 3.3106, 3.0710, 3.5570, 2.2211, 3.7395, 3.4096, 2.6363, 2.2393, 3.173525810241699,  3.1258327960968018
CV2, 1.9424, 3.7233, 4.9488, 3.8123, 3.0786, 3.0950, 1.9423, 3.8779, 3.0792, 2.3047, 1.9813, 2.942960500717163,  3.071448564529419
CV3, 1.6840, 3.4571, 4.4555, 3.2533, 3.1603, 3.2265, 2.0590, 3.1977, 2.7924, 2.7643, 2.0936, 2.7875771522521973, 2.9221506118774414 
CV4, 1.6514, 3.6809, 4.4573, 3.1964, 3.0045, 3.4786, 2.0364, 3.4050, 3.3310, 2.0876, 2.0850, 3.12261962890625,  2.946722984313965
CV5, 1.7012, 3.9680, 4.8371, 4.1877, 3.9056, 4.0303, 1.9693, 3.3080, 2.5765, 2.1254, 2.0025, 3.287097692489624, 3.1465237140655518
CV6, 1.6959, 3.2130, 4.8481, 3.1580, 3.0905, 3.3451, 2.9504, 4.5092, 3.7309, 2.6952, 1.9811, 4.1854963302612305, 3.201585292816162
CV7, 1.7521, 3.4066, 4.5032, 3.3322, 3.9396, 3.9942, 1.8653, 3.6948, 3.8350, 2.5361, 1.8689, 2.9996612071990967, 3.157099723815918
CV8, 1.8712, 3.8867, 4.7004, 3.2731, 3.1860, 4.2300, 2.2259, 3.3660, 3.2300, 2.5243, 1.9436, 3.0299735069274902, 3.1306567192077637
CV9, 1.6422, 2.8289, 4.9164, 2.9483, 2.6477, 2.7385, 1.7410, 2.9343, 3.0746, 2.2411, 1.8094, 2.458030939102173,2.6838440895080566



