Program ID of Prdict Network training:12280

Program command: 
 ['TrainPredictNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/Predict', '/home/hxie1/data/OvarianCancerCT/Extract_uniform/latent/train', '/home/hxie1/data/OvarianCancerCT/Extract_uniform/latent/test', '/home/hxie1/data/OvarianCancerCT/Extract_uniform/latent/patientResponseDict.json', 'latent']

Major program changes: 
                      the nunmber of filters in 1st layer in V model = 96
                      latent Vector size: 1536*51*49 (featureMap* slices * axisPlaneLatentVector)
                      PredictModel is convsDenseModule+FC network.
                      there total 162 patient data, in which, 130 with smaller patientId as training data, 
                                                          and 32 with bigger patientID as test data

Experiment setting for Latent to response:
Input: 1536*51*49 Tensor as latent vector,
       where 1536 is the  number of filter at the bottleneck of V model, 
             51 is the number of slices of ROI CT image with size 51*281*281 for input to V model, 
             49 =7*7 is the flatted feature map for each filter.

Predictive Model: 1,  first 4-layer dense conv block reducing feature space into 768 with tensor size 768*51*49 
                  2,  and 4 dense conv blocks each of which includes a stride 2 conv and 4-layers dense conv block; now the the tensor is with size 48*2*2
                  3,  and a simple conv-batchNorm-Relu layer with filter size(2,2) change the tensor with size of  48*1;
                  4,  and 2 fully connected layers  changes the tensor into size 2*1;
                  5  final a softmax for binary classification;
                  Total network learning parameters are 29 millions.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/LatentPredictModel.py

Loss Function:   Cross Entropy with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:            training data has 130 patients, and test data has 32 patients with training/test rate 80/20.

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.
                                                          
                                                         
Experiment setting for Image3d to response:
Input: 73*141*141 scaled 3D CT raw image as numpy array 
       
Predictive Model: 1,  first 3-layer dense conv block with channel size 64.
                  2,  and 6 dense conv DownBB blocks,  each of which includes a stride 2 conv and 4-layers dense conv block; 
                  3,  and 2 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 1.56 millions.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/Image3dPredictModel.py

Loss Function:   Cross Entropy with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:            training data has 130 patients, and test data has 32 patients with training/test rate 80/20.

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  
                    
                    change patience of learningRate scheduler to 30.
                                         

            

Program starting Time: 2019-05-31 09:51:06.297886
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/Predict

Now program get 130 input files.
Now program get 32 input files.
TrainData Input:  batchSize=16, depth=1536, height=51, width=49, NumClassfication=2

TestData Input:  batchSize=16, depth=1536, height=51, width=49, NumClassfication=2

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Program loads net from /home/hxie1/temp_netParameters/OvarianCancer/Predict.
Current best test dice: 0.5
Network has total 29,359,778 parameters.
Infor: Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Info: program will use 4 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 
Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 


Epoch		TrLoss	TrainAccuracy	TsLoss	TestAccuracy
0		0.0988	0.875		0.1846	0.625
1		0.0852	0.938		0.1903	0.500
2		0.1078	0.863		0.1837	0.625
3		0.1211	0.938		0.1840	0.562
4		0.1028	0.958		0.1967	0.562
5		0.0970	0.859		0.1855	0.625
6		0.0997	0.969		0.1952	0.625
7		0.0969	0.906		0.1941	0.562
8		0.0919	0.984		0.1808	0.625
9		0.1105	0.938		0.1846	0.625
10		0.1037	0.887		0.1950	0.625
11		0.0983	0.865		0.1892	0.625
12		0.0946	0.917		0.1873	0.625
13		0.1070	0.906		0.1940	0.500
14		0.1063	0.844		0.1891	0.500
15		0.0910	0.958		0.1969	0.500
16		0.0960	0.912		0.1932	0.500
17		0.1112	0.887		0.1943	0.500
18		0.1104	0.906		0.1919	0.500
19		0.0983	0.844		0.1910	0.500
20		0.1088	0.912		0.1909	0.562
21		0.1326	0.844		0.1871	0.625
22		0.1081	0.854		0.1947	0.500
23		0.1057	0.917		0.1940	0.625
24		0.1115	0.838		0.1923	0.625
25		0.0935	0.887		0.1929	0.500
26		0.1015	0.906		0.1980	0.500
27		0.1190	0.887		0.1922	0.562
28		0.0925	0.896		0.1831	0.625
29		0.1162	0.906		0.1942	0.500
30		0.0892	0.875		0.1922	0.500
31		0.1292	0.825		0.1941	0.625
32		0.1100	0.922		0.1934	0.625
33		0.1072	0.900		0.1929	0.562
34		0.1064	0.906		0.1867	0.500
35		0.0890	0.896		0.1817	0.625
36		0.1232	0.896		0.1846	0.625
37		0.1048	0.863		0.1863	0.625
38		0.1006	0.891		0.1863	0.625
39		0.1002	0.925		0.1869	0.625
40		0.0978	0.896		0.1815	0.625
41		0.0887	0.963		0.1868	0.625
42		0.0918	0.938		0.1883	0.562
43		0.0959	0.900		0.1898	0.500
44		0.0940	0.884		0.1866	0.625
45		0.1133	0.833		0.1850	0.625
46		0.1239	0.812		0.1879	0.562
47		0.1293	0.812		0.1926	0.500
48		0.1227	0.891		0.2016	0.500
49		0.1059	0.906		0.1973	0.562
50		0.1065	0.875		0.1944	0.500
51		0.1190	0.875		0.1963	0.562
52		0.1070	0.750		0.2002	0.500
53		0.1211	0.906		0.1824	0.625
54		0.1104	0.833		0.1830	0.625
55		0.0865	0.896		0.1876	0.625
56		0.1164	0.875		0.1850	0.625
57		0.1110	0.953		0.1843	0.625
58		0.1179	0.792		0.1986	0.500
59		0.1061	0.875		0.1904	0.500
60		0.0977	0.844		0.1970	0.625
61		0.1355	0.875		0.1790	0.625
62		0.0887	0.953		0.1804	0.562
63		0.1033	0.781		0.1895	0.562
64		0.1058	0.875		0.1931	0.562
65		0.0886	0.917		0.1854	0.625
66		0.0907	0.875		0.1935	0.500
67		0.0853	0.906		0.1877	0.562
68		0.1005	0.917		0.1885	0.500
69		0.0931	0.812		0.1925	0.500
70		0.0985	0.844		0.1823	0.625
71		0.1333	0.875		0.1886	0.562
72		0.0879	0.906		0.1939	0.562
73		0.0991	0.896		0.1931	0.625
74		0.1009	0.887		0.1969	0.500
75		0.1082	0.781		0.1938	0.562
76		0.1195	0.917		0.1900	0.562
77		0.1154	0.917		0.1928	0.500
78		0.0861	0.891		0.1901	0.562
79		0.1207	0.792		0.1838	0.562
80		0.1034	0.865		0.1876	0.625
81		0.1155	0.938		0.1922	0.562
82		0.1045	0.958		0.1886	0.625
