=============training from sratch============
Program ID: 7000

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy', '0', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      Sep 30th, 2019
      1   With size-reduced ROI of size 51*149*149;
      2   reduce the translation of data augmentation;
      3   reduce all data into 35 patients, excluding a very blur patient.
      Oct 5th, 2019
      1   use uniform physical size 147mm*147mm*147mm, input pixel size: 49*147*147 with spacing size 3mm*1mm*1mm;
      2   change V model with inputsize 49*147*147
      
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-10-05 17:20:44.582667
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191005_172044

Info: this is the 0th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191005_172044.
program re-initializes all input files list, which will lead previous all K_fold cross validation invalid.
6-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 27 image files.

validation dataset: total 7 image files.

test dataset: total 7 image files.
Total 27 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy
0 has 23525912 elements, with a rate of  0.822909269733675 
1 has 5062795 elements, with a rate of  0.1770907302663251 
loss weight = tensor([1.0000, 4.6468])
Network has total 73,047,746 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		22.2597		0.17405		20244.5479		0.00000		7315.0479		0.00000
5	1.0000e-02		10.8588		0.32689		7.5345		0.40756		6.4713		0.23570
10	1.0000e-02		9.8339		0.40339		5.4727		0.49719		3.9772		0.34392
15	1.0000e-02		7.3872		0.42931		4.9533		0.51282		3.1148		0.38481
20	1.0000e-02		7.5215		0.44500		4.9026		0.49732		3.0388		0.35104
25	1.0000e-02		7.3600		0.44388		5.2839		0.49911		2.9559		0.44979
30	1.0000e-02		7.5429		0.46859		4.2081		0.50035		2.9326		0.36837
35	1.0000e-02		6.6248		0.52847		3.6461		0.55078		1.7810		0.49869
40	1.0000e-02		6.5000		0.48116		3.7026		0.50888		2.2417		0.43396
45	1.0000e-02		7.0188		0.45912		4.7809		0.56860		2.6372		0.41059
50	1.0000e-02		5.9688		0.51199		3.7974		0.54721		2.3975		0.42455
55	1.0000e-02		5.2398		0.49660		3.4099		0.53780		1.7547		0.54489
60	1.0000e-02		7.0379		0.46568		4.5564		0.54499		2.6219		0.45077
65	1.0000e-02		7.1167		0.47104		5.2960		0.45061		4.8221		0.28230
70	1.0000e-02		7.0876		0.44686		5.6411		0.52718		3.4190		0.36757
75	1.0000e-02		6.1981		0.49024		4.2064		0.55363		2.5487		0.48642
80	1.0000e-02		5.9759		0.49595		7.9620		0.58841		2.7958		0.41515
85	1.0000e-02		5.4618		0.52027		3.3270		0.56295		2.0125		0.46523
90	1.0000e-02		7.9034		0.38263		4.5590		0.50839		3.4364		0.33421
95	1.0000e-02		6.5346		0.45994		3.3082		0.56475		2.1610		0.42874
100	1.0000e-02		6.3094		0.48785		2.8075		0.56847		1.8712		0.47545
105	1.0000e-02		4.9755		0.51210		3.9530		0.57244		2.3805		0.48307
110	1.0000e-02		5.4140		0.52067		3.2172		0.57555		2.2120		0.43491
115	1.0000e-02		4.9413		0.51281		3.3314		0.54141		2.6620		0.37550
120	1.0000e-02		4.7563		0.54146		2.9723		0.58759		1.7130		0.49327
125	1.0000e-02		3.7776		0.56313		3.2174		0.60148		1.8802		0.54852
130	1.0000e-02		4.1353		0.53295		2.7590		0.63157		2.0211		0.46851
135	1.0000e-02		5.6907		0.49675		3.4635		0.58996		2.5672		0.41637
140	1.0000e-02		5.0526		0.50071		3.5385		0.55838		2.7995		0.38928
145	1.0000e-02		4.3205		0.53031		6.2440		0.54593		3.0866		0.41183
150	1.0000e-02		3.7145		0.55115		2.9169		0.56239		1.7035		0.47127
155	1.0000e-02		3.4711		0.54859		3.0497		0.61798		2.3003		0.41757
160	1.0000e-02		3.7553		0.59320		2.4798		0.60945		1.8668		0.46131
165	1.0000e-02		3.2229		0.57388		2.7548		0.62216		1.6953		0.48719
170	1.0000e-02		3.8077		0.56062		3.1702		0.60110		1.7619		0.47812
175	1.0000e-02		5.1665		0.50098		2.5513		0.59170		1.9612		0.47195
180	1.0000e-02		3.7963		0.55333		3.9940		0.60769		2.4023		0.34321
185	1.0000e-02		3.6130		0.54892		3.1694		0.56524		1.8964		0.45954
190	1.0000e-02		3.8515		0.54515		2.4844		0.64412		1.7199		0.52461
195	1.0000e-02		3.7623		0.54843		2.5757		0.63232		1.8918		0.49848
200	1.0000e-02		3.3362		0.54487		2.3859		0.67065		1.5951		0.59993
205	1.0000e-02		3.7379		0.56982		2.3468		0.65031		1.7204		0.63878
