=============training from sratch============
Program ID: 1891

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            6    at July 29th 12:41, 2019:
                    add GPUID in command line;
                    use SGD optimizer, instead of Adam
                    add numbers of filters along deeper layer with step 12.
                    add saveDir's tims stamp;
                    
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-29 13:28:29.822350
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten/20190729_132829

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 247,588 parameters.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	0.4080	0.5000	0.4714	0.5667		0.3987	0.6857	1.0000	0.0000		0.3873	0.7059	1.0000	0.0000
5	0.4448	0.4200	0.3286	0.6333		0.4660	0.3714	0.1250	0.9091		0.4807	0.3235	0.2500	0.5000
10	0.4446	0.4200	0.2286	0.8667		0.5296	0.4000	0.1667	0.9091		0.5043	0.2941	0.0833	0.8000
15	0.4010	0.6100	0.7286	0.3333		0.4283	0.6571	0.9583	0.0000		0.4095	0.7059	0.9583	0.1000
20	0.3754	0.7000	0.8000	0.4667		0.4814	0.5143	0.6250	0.2727		0.3873	0.5588	0.6250	0.4000
25	0.4147	0.4200	0.2286	0.8667		0.5024	0.4571	0.3750	0.6364		0.5404	0.3529	0.1667	0.8000
30	0.3730	0.7600	0.9000	0.4333		0.5194	0.6857	1.0000	0.0000		0.3437	0.7059	1.0000	0.0000
35	0.3998	0.6500	0.6143	0.7333		0.4656	0.6857	0.9167	0.1818		0.3446	0.6176	0.7500	0.3000
40	0.3405	0.7300	0.7143	0.7667		1.1080	0.3429	0.1250	0.8182		1.1566	0.2059	0.0833	0.5000
45	0.2938	0.7400	0.7714	0.6667		0.8521	0.6571	0.9583	0.0000		0.3539	0.6765	0.8750	0.2000
50	0.2492	0.8200	0.8429	0.7667		0.6787	0.6857	0.7500	0.5455		0.5426	0.5588	0.6667	0.3000
55	0.3191	0.8000	0.7714	0.8667		0.6466	0.6571	0.8750	0.1818		0.3438	0.6765	0.8750	0.2000
60	0.2501	0.8600	0.8714	0.8333		0.5554	0.7143	0.8750	0.3636		0.3812	0.6471	0.7083	0.5000
65	0.2420	0.8100	0.8000	0.8333		0.6458	0.6000	0.6250	0.5455		0.6082	0.4412	0.3750	0.6000
70	0.1495	0.8900	0.8857	0.9000		1.1362	0.4571	0.2917	0.8182		1.1856	0.3529	0.2083	0.7000
75	0.0951	0.9500	0.9286	1.0000		1.2045	0.7143	1.0000	0.0909		0.5346	0.8235	0.9583	0.5000
80	0.2988	0.8300	0.7857	0.9333		2.2786	0.3143	0.0417	0.9091		2.3828	0.2941	0.0833	0.8000
85	0.4207	0.7100	0.7429	0.6333		0.5025	0.5714	0.7083	0.2727		0.5127	0.5588	0.6667	0.3000
90	0.3149	0.7700	0.7714	0.7667		0.4762	0.6000	0.7500	0.2727		0.4907	0.5294	0.5833	0.4000
95	0.1984	0.8200	0.8143	0.8333		0.5170	0.6857	0.9167	0.1818		0.4982	0.6471	0.7917	0.3000
100	0.1757	0.8300	0.8429	0.8000		0.6878	0.7143	0.9583	0.1818		0.4346	0.6471	0.7917	0.3000
105	0.3477	0.8000	0.8000	0.8000		0.6946	0.7429	0.9583	0.2727		0.4945	0.6471	0.7917	0.3000
110	0.1631	0.9000	0.9000	0.9000		0.6089	0.6571	0.7500	0.4545		0.5608	0.6765	0.6250	0.8000
115	0.4594	0.8700	0.8857	0.8333		0.9180	0.5143	0.4167	0.7273		1.0410	0.3824	0.3333	0.5000
120	0.2997	0.8300	0.8571	0.7667		0.5175	0.5714	0.6250	0.4545		0.6150	0.5000	0.5417	0.4000
