Program ID of SkyWatcher Network training:16140

Program command: 
 ['TrainSkyWatcherPurePrediction.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher/PurePrediction', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      Directly use 3D data for treatment prediction without segmentation. 
                      Number of filters in encoder is 64.
                      Only epoch %5 ==0, print log
                      Use BatchNorm1d in FC layer, instead of InstanceNorm1d.
                       

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.


Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-14 16:05:05.799612
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher/PurePrediction

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files, where positive response rate = 0.7071428571428572 in full data
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
Infor: In Validataion set, 19 1's, and positive response rate = 0.7037037037037037
Infor: In trainning set, 80 1's,  positive response rate = 0.7079646017699115
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 2,040,900 parameters.
Infor: Response Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Loss Functions List: FocalCELoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		TsLoss	Accura	TPR_r	TNR_r
0	0.4378	0.4464	0.3924	0.5758		0.5421	0.6250	0.7500	0.3750
5	0.2189	0.4911	0.4810	0.5152		0.1798	0.6250	0.6111	0.6667
10	0.2054	0.5804	0.6203	0.4848		0.2063	0.5000	0.6875	0.1250
15	0.2152	0.5446	0.6329	0.3333		0.1804	0.6250	0.6875	0.5000
20	0.2034	0.5804	0.6835	0.3333		0.2380	0.2917	0.4118	0.0000
25	0.1801	0.6429	0.7342	0.4242		0.2058	0.5833	0.8235	0.0000
30	0.1846	0.6071	0.6709	0.4545		0.2456	0.4167	0.5556	0.0000
35	0.1923	0.6161	0.6962	0.4242		0.2057	0.5833	0.7647	0.1429
40	0.1799	0.6339	0.7089	0.4545		0.1978	0.4167	0.6250	0.0000
45	0.1722	0.6429	0.7342	0.4242		0.1869	0.6667	0.8824	0.1429
50	0.1733	0.6429	0.7595	0.3636		0.1792	0.5417	0.6875	0.2500
55	0.1746	0.6339	0.7342	0.3939		0.1868	0.7083	0.9444	0.0000
60	0.1855	0.5625	0.6582	0.3333		0.2076	0.4583	0.6875	0.0000
65	0.1792	0.5893	0.7215	0.2727		0.1828	0.6250	0.8824	0.0000
70	0.1737	0.5804	0.7089	0.2727		0.1846	0.6667	0.9412	0.0000
75	0.1765	0.5804	0.6875	0.3125		0.1931	0.6250	0.9375	0.0000
80	0.1663	0.5982	0.7215	0.3030		0.1802	0.6250	0.9375	0.0000
85	0.1739	0.5536	0.6835	0.2424		0.2442	0.3333	0.4118	0.1429
90	0.1736	0.5982	0.7125	0.3125		0.2041	0.4583	0.6471	0.0000
95	0.1626	0.7232	0.8861	0.3333		0.1711	0.6667	0.8824	0.1429
100	0.1693	0.6607	0.8500	0.1875		0.1886	0.5417	0.8125	0.0000
105	0.1674	0.6250	0.7750	0.2500		0.1897	0.5000	0.7500	0.0000
110	0.1642	0.7232	0.8481	0.4242		0.1767	0.6250	0.8824	0.0000
115	0.1635	0.6875	0.8354	0.3333		0.1805	0.6250	0.8824	0.0000
120	0.1679	0.6250	0.7468	0.3333		0.2094	0.4583	0.6471	0.0000
125	0.1664	0.6607	0.7848	0.3636		0.1717	0.6250	0.8824	0.0000
130	0.1645	0.6696	0.8250	0.2812		0.1671	0.6250	0.8824	0.0000
135	0.1670	0.6429	0.7975	0.2727		0.1730	0.6250	0.8824	0.0000
140	0.1656	0.6339	0.7975	0.2424		0.1774	0.6667	0.9412	0.0000
145	0.1595	0.7054	0.8000	0.4688		0.1859	0.5833	0.8750	0.0000
150	0.1558	0.7054	0.7750	0.5312		0.1681	0.6667	0.9412	0.0000
