Program ID of SkyWatcher Network training:3764

Program command: 
 ['TrainSkyWatcherPurePrediction.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher/PurePrediction', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      Directly use 3D data for treatment prediction without segmentation. 
                      Number of filters in encoder is 64.
                      Only epoch %5 ==0, print log
                      Use BatchNorm1d in FC layer, instead of InstanceNorm1d.
                      relaunch running at June 15th.  
                       

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.


Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-15 08:24:56.123716
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher/PurePrediction

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files, where positive response rate = 0.7071428571428572 in full data
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
Infor: In Validataion set, 19 1's, and positive response rate = 0.7037037037037037
Infor: In trainning set, 80 1's,  positive response rate = 0.7079646017699115
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (64, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 2,040,900 parameters.
Infor: Response Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Loss Functions List: FocalCELoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		TsLoss	Accura	TPR_r	TNR_r
0	0.5865	0.6518	0.8987	0.0606		0.3181	0.6250	0.8824	0.0000
5	0.2416	0.6518	0.7468	0.4242		0.1768	0.5417	0.5882	0.4286
10	0.2436	0.5625	0.6456	0.3636		0.2326	0.5417	0.5882	0.4286
15	0.1871	0.5804	0.6582	0.3939		0.2227	0.3750	0.2500	0.6250
20	0.1754	0.5893	0.6076	0.5455		0.3040	0.2500	0.1176	0.5714
25	0.1939	0.5982	0.6250	0.5312		0.2394	0.3750	0.2941	0.5714
30	0.1564	0.6518	0.7089	0.5152		0.2231	0.3333	0.2353	0.5714
35	0.1652	0.6250	0.6962	0.4545		0.1592	0.5833	0.5294	0.7143
40	0.1790	0.6607	0.7215	0.5152		0.1924	0.4583	0.3125	0.7500
45	0.1766	0.5982	0.6582	0.4545		0.2128	0.2500	0.1875	0.3750
50	0.1669	0.6339	0.7468	0.3636		0.2026	0.2917	0.1111	0.8333
55	0.1775	0.5893	0.6835	0.3636		0.2027	0.2083	0.1765	0.2857
60	0.1550	0.7054	0.7375	0.6250		0.2040	0.3333	0.2778	0.5000
65	0.1257	0.7946	0.8228	0.7273		0.2257	0.2917	0.2941	0.2857
70	0.1623	0.6518	0.7089	0.5152		0.2284	0.2500	0.2353	0.2857
75	0.1369	0.7679	0.8354	0.6061		0.2068	0.4583	0.3889	0.6667
80	0.1292	0.7857	0.7722	0.8182		0.2204	0.2917	0.2500	0.3750
85	0.1694	0.6696	0.7215	0.5455		0.2352	0.5000	0.6250	0.2500
90	0.1350	0.7411	0.7468	0.7273		0.2905	0.4583	0.5294	0.2857
95	0.1283	0.7946	0.8375	0.6875		0.2190	0.3333	0.3529	0.2857
100	0.1304	0.7857	0.8228	0.6970		0.2428	0.3750	0.3529	0.4286
105	0.1300	0.8125	0.8125	0.8125		0.2749	0.2500	0.2353	0.2857
110	0.1291	0.7589	0.7595	0.7576		0.3388	0.5417	0.7647	0.0000
115	0.1331	0.7679	0.7848	0.7273		0.3080	0.2917	0.3750	0.1250
120	0.0942	0.8839	0.8500	0.9688		0.2794	0.5000	0.5625	0.3750
125	0.1496	0.7054	0.7250	0.6562		0.4363	0.5417	0.5625	0.5000
130	0.1125	0.7857	0.7875	0.7812		0.2933	0.4583	0.5000	0.3750
135	0.1028	0.8393	0.8500	0.8125		0.2310	0.5833	0.5882	0.5714
140	0.0847	0.8571	0.8500	0.8750		0.2699	0.5000	0.6471	0.1429
145	0.0966	0.8393	0.8500	0.8125		0.2462	0.5833	0.7222	0.1667
150	0.0800	0.9107	0.9494	0.8182		0.2898	0.4583	0.6250	0.1250
155	0.1742	0.6964	0.7342	0.6061		0.3366	0.4167	0.4118	0.4286
