
April 13th 09:41:

train with FocalLoss+ weight, dropput 0.2:

[c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels

Program starting Time:  2019-04-12 16:31:54.787057
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 441 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 141 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Network has total 12854479 parameters.
Info: network dropout rate = 0.2
Network trains from scratch.

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1      [-1, 32, 9, 139, 139]           4,032
       BatchNorm3d-2      [-1, 32, 9, 139, 139]              64
         Dropout3d-3      [-1, 32, 9, 139, 139]               0
            Conv3d-4        [-1, 64, 3, 69, 69]          92,224
       BatchNorm3d-5        [-1, 64, 3, 69, 69]             128
         Dropout3d-6        [-1, 64, 3, 69, 69]               0
            Conv3d-7       [-1, 128, 1, 33, 33]         614,528
       BatchNorm3d-8       [-1, 128, 1, 33, 33]             256
         Dropout3d-9       [-1, 128, 1, 33, 33]               0
           Conv2d-10          [-1, 256, 15, 15]         819,456
      BatchNorm2d-11          [-1, 256, 15, 15]             512
        Dropout2d-12          [-1, 256, 15, 15]               0
           Conv2d-13            [-1, 512, 7, 7]       1,180,160
      BatchNorm2d-14            [-1, 512, 7, 7]           1,024
        Dropout2d-15            [-1, 512, 7, 7]               0
           Conv2d-16            [-1, 512, 3, 3]       2,359,808
      BatchNorm2d-17            [-1, 512, 3, 3]           1,024
        Dropout2d-18            [-1, 512, 3, 3]               0
  ConvTranspose2d-19            [-1, 512, 7, 7]       2,359,808
      BatchNorm2d-20            [-1, 512, 7, 7]           1,024
        Dropout2d-21            [-1, 512, 7, 7]               0
  ConvTranspose2d-22          [-1, 256, 15, 15]       2,359,552
      BatchNorm2d-23          [-1, 256, 15, 15]             512
        Dropout2d-24          [-1, 256, 15, 15]               0
  ConvTranspose2d-25          [-1, 128, 33, 33]       1,638,528
      BatchNorm2d-26          [-1, 128, 33, 33]             256
        Dropout2d-27          [-1, 128, 33, 33]               0
  ConvTranspose3d-28        [-1, 64, 3, 69, 69]       1,228,864
      BatchNorm3d-29        [-1, 64, 3, 69, 69]             128
        Dropout3d-30        [-1, 64, 3, 69, 69]               0
  ConvTranspose3d-31      [-1, 32, 9, 139, 139]         184,352
      BatchNorm3d-32      [-1, 32, 9, 139, 139]              64
        Dropout3d-33      [-1, 32, 9, 139, 139]               0
  ConvTranspose3d-34      [-1, 1, 21, 281, 281]           8,001
      BatchNorm3d-35      [-1, 1, 21, 281, 281]               2
        Dropout3d-36      [-1, 1, 21, 281, 281]               0
           Conv2d-37          [-1, 4, 281, 281]             172
================================================================
Total params: 12,854,479
Trainable params: 12,854,479
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 6.33
Forward/backward pass size (MB): 347.20
Params size (MB): 49.04
Estimated Total Size (MB): 402.56
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1	Dice_2	Dice_3 	 TPR_0	TPR_1	TPR_2	TPR_3
0 	 0.7816 	 0.7741 	 0.015	0.023	0.006	0.000 	 0.026	0.020	0.006	0.000
1 	 0.7423 	 0.7392 	 0.095	0.210	0.077	0.000 	 0.665	0.492	0.267	0.000
2 	 0.7105 	 0.7108 	 0.098	0.198	0.087	0.000 	 0.647	0.379	0.436	0.000
3 	 0.6601 	 0.6640 	 0.118	0.285	0.112	0.000 	 0.912	0.740	0.637	0.000
4 	 0.6208 	 0.5703 	 0.147	0.322	0.190	0.000 	 0.931	0.793	0.764	0.000
5 	 0.6022 	 0.5801 	 0.169	0.373	0.172	0.000 	 0.886	0.905	0.395	0.000
6 	 0.5873 	 0.5605 	 0.217	0.315	0.239	0.000 	 0.834	0.396	0.872	0.000
7 	 0.5894 	 0.5037 	 0.196	0.421	0.209	0.000 	 0.915	0.802	0.802	0.000
8 	 0.6064 	 0.5040 	 0.230	0.451	0.216	0.000 	 0.886	0.642	0.845	0.000
9 	 0.5651 	 0.5180 	 0.259	0.368	0.219	0.000 	 0.829	0.331	0.884	0.000
10 	 0.5552 	 0.4419 	 0.202	0.483	0.181	0.008 	 0.936	0.760	0.840	0.129
11 	 0.5274 	 0.4686 	 0.247	0.446	0.206	0.000 	 0.880	0.472	0.883	0.000
12 	 0.5119 	 0.4590 	 0.184	0.427	0.187	0.003 	 0.954	0.902	0.659	0.073
13 	 0.5302 	 0.4391 	 0.212	0.456	0.195	0.008 	 0.925	0.763	0.729	0.133
14 	 0.4899 	 0.5937 	 0.190	0.178	0.204	0.004 	 0.912	0.290	0.876	0.185
15 	 0.5320 	 0.4237 	 0.232	0.349	0.209	0.004 	 0.893	0.323	0.780	0.468
16 	 0.5358 	 0.8822 	 0.098	0.000	0.086	0.000 	 0.395	0.000	0.312	0.000
17 	 0.4903 	 0.5375 	 0.225	0.110	0.204	0.004 	 0.776	0.072	0.766	0.164
18 	 0.4202 	 0.4616 	 0.213	0.402	0.188	0.008 	 0.798	0.421	0.732	0.201
19 	 0.4750 	 0.3693 	 0.218	0.493	0.187	0.011 	 0.925	0.678	0.838	0.227
20 	 0.4023 	 0.3830 	 0.226	0.524	0.193	0.017 	 0.907	0.738	0.754	0.213
21 	 0.4242 	 0.3955 	 0.252	0.527	0.230	0.024 	 0.891	0.787	0.705	0.216
22 	 0.4559 	 0.5907 	 0.231	0.181	0.228	0.001 	 0.880	0.251	0.828	0.043
23 	 0.3532 	 0.4390 	 0.221	0.458	0.172	0.008 	 0.936	0.801	0.611	0.277
24 	 0.3419 	 0.4321 	 0.193	0.479	0.156	0.007 	 0.967	0.869	0.689	0.287
25 	 0.3830 	 0.4303 	 0.213	0.386	0.169	0.009 	 0.930	0.403	0.893	0.288
26 	 0.4431 	 0.5596 	 0.177	0.329	0.150	0.002 	 0.970	0.510	0.890	0.111
27 	 0.3268 	 0.5423 	 0.184	0.434	0.162	0.000 	 0.958	0.903	0.664	0.000
28 	 0.3787 	 0.5193 	 0.220	0.493	0.187	0.003 	 0.891	0.873	0.644	0.012
29 	 0.3157 	 0.4668 	 0.227	0.459	0.219	0.005 	 0.759	0.526	0.600	0.263
30 	 0.3389 	 0.3423 	 0.228	0.543	0.193	0.010 	 0.894	0.747	0.734	0.595
31 	 0.3297 	 0.3440 	 0.192	0.486	0.171	0.015 	 0.969	0.798	0.817	0.600
32 	 0.3229 	 0.3723 	 0.195	0.454	0.159	0.008 	 0.952	0.645	0.783	0.600
33 	 0.3426 	 0.3750 	 0.256	0.461	0.213	0.017 	 0.892	0.565	0.841	0.253
34 	 0.4300 	 0.6418 	 0.282	0.053	0.229	0.009 	 0.815	0.037	0.687	0.490
35 	 0.3777 	 0.4241 	 0.267	0.254	0.237	0.011 	 0.891	0.257	0.822	0.642
36 	 0.3126 	 0.4762 	 0.209	0.370	0.183	0.020 	 0.954	0.513	0.881	0.450
37 	 0.3825 	 0.3317 	 0.242	0.555	0.208	0.018 	 0.873	0.698	0.702	0.533
38 	 0.3812 	 0.5171 	 0.239	0.369	0.210	0.006 	 0.736	0.363	0.707	0.067
