=============training from sratch============
Program ID: 4410

Program command: 
 ['TrainResNeXtVNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet', '1', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpy', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpyLabel', '0', '3,2,1']

Major program changes: 
     1  a V model with ResNeXt block: use z convolution, and then xy convolution, to implement 3D convolution.
     2  at ground truth, only check the segmented slices, about 3 slices per patient;
     3  the input is whole 3D volume, intead of ROI;
     4  support input data augmentation: affine in xy plane, and translation in z direction;
     5  input Size: 231*251*251 with label;
    

Discarded changes:                  

Experiment setting:
Input CT data: maximum size 231*251*251 (zyx) of 3D numpy array with spacing size(3*2*2)

Loss Function:  BCELogitLoss

Data:   total 143 patients with weak annotaton label, 5-fold cross validation, test 29, validation 29, and training 85.  

Training strategy: 

          

Program starting Time: 2019-08-31 16:53:39.752543
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190831_165339

Info: this is the 0th fold leave for test in the 5-fold cross-validation.

Info: batchSize = 12

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190831_165339.
5-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 85 image files.

validation dataset: total 29 image files.

test dataset: total 29 image files.
Network has total 26,372,379 parameters.


************** Table of Train Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-01		2000625.0112	0.00799		1316223.3750	0.00105		1874104.9896	0.00021
5	1.0000e-01		344974.6025	0.00000		541830.9167	0.00000		786690.9375	0.00000
10	1.0000e-01		345814.3184	0.00055		405924.4948	0.00000		569409.1927	0.00000
15	1.0000e-01		315017.5762	0.00402		967553.3750	0.00149		1400170.9688	0.00213
20	1.0000e-01		303260.1152	0.00164		521921.9531	0.00034		747186.0365	0.00106
25	1.0000e-01		290687.9922	0.00176		3148268.6667	0.00191		3756207.8333	0.00363
30	1.0000e-01		309708.8511	0.02520		1186156.4792	0.00318		1256315.5365	0.00815
35	1.0000e-01		311383.2463	0.02282		1414691.1250	0.00000		2021096.0312	0.00000
40	1.0000e-01		284947.9714	0.01353		1392410.7708	0.00055		1778883.3021	0.00152
45	1.0000e-01		250522.3956	0.03513		828363.1875	0.00116		1157671.3958	0.00213
50	1.0000e-02		272874.0532	0.02996		342914.8073	0.00308		433101.4740	0.00854
55	1.0000e-02		260157.3203	0.04075		295715.9297	0.03566		377892.8906	0.03426
60	1.0000e-02		266344.2074	0.04701		294678.4323	0.02819		382170.4583	0.02968
65	1.0000e-02		273948.4668	0.05247		295300.4792	0.05057		381401.0703	0.04037
70	1.0000e-02		262973.0825	0.06414		303332.5938	0.01780		405788.8698	0.02340
75	1.0000e-02		231244.8472	0.05621		291973.5677	0.04881		391758.6745	0.03631
80	1.0000e-02		274403.3633	0.05622		328178.2812	0.00560		443031.6745	0.00906
85	1.0000e-02		266474.0052	0.05789		280898.8984	0.05693		375298.9036	0.04846
90	1.0000e-02		246667.6587	0.05409		295308.2917	0.00757		405266.3177	0.01497
95	1.0000e-02		240935.7275	0.05653		278246.2969	0.03943		383826.1979	0.04035
100	1.0000e-02		240715.6938	0.06009		290826.7552	0.02618		393431.0130	0.03382
105	1.0000e-02		238319.9053	0.05998		327607.0208	0.01781		450682.1198	0.02165
110	1.0000e-02		242964.1514	0.05249		284004.0286	0.04161		398719.8203	0.03487
115	1.0000e-02		258289.2612	0.06072		300529.7396	0.01204		425569.4010	0.02153
120	1.0000e-02		225288.2114	0.05041		302973.7708	0.01635		437782.2292	0.02894
125	1.0000e-02		239600.0627	0.05682		278798.2969	0.06171		384340.8177	0.05050
130	1.0000e-02		227261.2305	0.07169		288039.0104	0.04671		404945.6224	0.04376
