=============training from sratch============
Program ID: 18309

Program command: 
 ['TrainResNeXtVNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet', '1', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpy', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpyLabel', '0', '3,2,1']

Major program changes: 
     1  a V model with ResNeXt block: use z convolution, and then xy convolution, to implement 3D convolution.
     2  at ground truth, only check the segmented slices, about 3 slices per patient;
     3  the input is whole 3D volume, instead of ROI around a segmented slice;
     4  support input data augmentation: affine in xy plane, and translation in z direction;
     5  input Size: 231*251*251 with label, instead of previous SkyWatch Model of 29*140*140;
     6  treat all 1,2,3 labels as 1, in other words, do not differentiate primary, metastase, and nymph node;
     7  initializaiton LR is 0.1; considering zero padding and the bigger risk cost of missing cancer, adjust loss positive weight;
     4  add to 3 ResReXt Blocks in each layer in V model. 
    

Discarded changes:                  

Experiment setting:
Input CT data: maximum size 231*251*251 (zyx) of 3D numpy array with spacing size(3*2*2)

Loss Function:  BCELogitLoss

Data:   total 143 patients with weak annotaton label, 5-fold cross validation, test 29, validation 29, and training 85.  

Training strategy: 

          

Program starting Time: 2019-09-02 17:55:50.867314
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190902_175550

Info: this is the 0th fold leave for test in the 5-fold cross-validation.

Info: batchSize = 12

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190902_175550.
5-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 85 image files.

validation dataset: total 29 image files.

test dataset: total 29 image files.
Network has total 29,804,699 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-01		16586770.2656	0.02754		5930936.5833	0.00506		8107799.5417	0.01213
5	1.0000e-01		2221610.0845	0.06918		5382525.9167	0.02612		7652952.0000	0.02873
10	1.0000e-01		2105055.1953	0.06794		2566420.0000	0.05398		3321175.5208	0.06861
15	1.0000e-01		2044806.8594	0.07984		3803835.4583	0.03675		5859813.4167	0.04744
20	1.0000e-01		2008789.2422	0.07137		3185541.7917	0.05605		4086251.7500	0.06161
25	1.0000e-01		2060618.2285	0.07482		2951505.9375	0.05893		3905412.9792	0.07209
30	1.0000e-01		2319494.9521	0.07056		2815902.9375	0.05850		3825846.7917	0.06678
35	1.0000e-01		1969390.5283	0.08340		5033989.6667	0.03397		6608127.8333	0.04849
40	1.0000e-01		2141021.1626	0.07968		2798279.7917	0.08489		3564167.8125	0.10174
45	1.0000e-01		2004339.9590	0.09536		5126199.2917	0.04353		5516330.7917	0.05868
50	1.0000e-02		2307840.5410	0.05656		3048824.8333	0.07130		3756279.0833	0.07999
55	1.0000e-02		1791220.7891	0.09344		2341751.2083	0.07819		2897194.9375	0.10032
60	1.0000e-02		1897939.5117	0.09815		2237160.6250	0.08566		2830353.1667	0.10188
65	1.0000e-02		1635779.8516	0.10528		2204698.3958	0.08725		2611883.3125	0.11318
70	1.0000e-02		1703069.4980	0.10166		2060762.2500	0.09482		2489268.0417	0.12209
75	1.0000e-02		1712806.3340	0.11305		1972185.2083	0.09657		2422142.5208	0.12161
80	1.0000e-02		1756911.2129	0.11312		2038833.1458	0.10123		2489121.4167	0.12737
85	1.0000e-02		1713509.9102	0.11126		1890708.6458	0.10417		2404267.1042	0.12676
90	1.0000e-02		1675826.5117	0.10628		1886806.9375	0.10880		2457589.6667	0.12665
