=============training from sratch============
Program ID: 5688

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy', '0', '0']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      Sep 30th, 2019
      1   With size-reduced ROI of size 51*149*149;
      2   reduce the translation of data augmentation;
      3   reduce all data into 35 patients, excluding a very blur patient.
      Oct 5th, 2019
      1   use uniform physical size 147mm*147mm*147mm, input pixel size: 49*147*147 with spacing size 3mm*1mm*1mm;
      2   change V model with inputsize 49*147*147
      Oct 6th, 2019
      1   add filter number to 48 at the first layer. 
      Oct 7th, 2019
      1   restore to 32 of number of filters in the first layer;
      2   add bottom number of filters to 1024, and keep down sample and add filter number together. 
      Oct 8th, 2019
      1   discard the cancer with size exceeding 147mm*147mm*147mm; Now remains 29 patients data; 
      Oct 9th, 2019
      1   In the first layer of V model, remove the residual link; 
           with the residula link at first layer: Tr dice:54%, Validation Dice 27%, Test Dice 56%;  Not good.
      2   the final output layer, change into 1*1*1 convolution, instead of 3*3*3 convolution;
      3   add labelConsistencyLoss;
      Oct 11th, 2019
      1   use feature tensor just from the output end of V model. It is 32 dimensions.
      2   windows size for consistency loss changes to 3;

          
         

Discarded changes:                  
          

Program starting Time: 2019-10-11 22:07:36.427360
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191011_220736

Info: this is the 0th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 1

Info: useLabelConsistencyLoss = True and searchWindowSize= 3

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191011_220736.
6-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 19 image files.

validation dataset: total 5 image files.

test dataset: total 5 image files.
Total 19 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy
0 has 18433812 elements, with a rate of  0.9162854777808447 
1 has 1684167 elements, with a rate of  0.08371452221915532 
loss weight = tensor([ 1.0000, 10.9454])
Network has total 113,191,074 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		5.2120		0.09805		6.3660		0.07144		22.9220		0.05478
5	1.0000e-02		3.2013		0.32994		2.5825		0.16003		2.4725		0.33016
10	1.0000e-02		2.4440		0.35457		1.1992		0.21462		1.5476		0.38385
15	1.0000e-02		2.2695		0.44433		1.3318		0.21745		1.6292		0.37006
20	1.0000e-02		2.6034		0.36032		1.1708		0.25341		1.5067		0.44530
25	1.0000e-02		2.5512		0.39843		1.0965		0.24504		1.3896		0.43423
30	1.0000e-02		1.9434		0.44908		1.0311		0.27718		1.0730		0.44916
35	1.0000e-02		2.7318		0.38109		0.9840		0.26289		1.1659		0.44102
40	1.0000e-02		2.5336		0.42698		1.0343		0.26760		1.2585		0.44835
45	1.0000e-02		2.8647		0.37771		1.1978		0.24994		1.7827		0.34450
50	1.0000e-02		1.7775		0.43171		0.9007		0.31142		1.0486		0.51842
55	1.0000e-02		1.7077		0.47013		0.9341		0.27992		1.1268		0.51026
60	1.0000e-02		1.7921		0.47150		0.9484		0.32600		1.0148		0.57680
65	1.0000e-02		1.5622		0.46700		0.8598		0.27039		0.9588		0.51703
70	1.0000e-02		2.5925		0.36229		0.9106		0.30215		1.0946		0.48972
75	1.0000e-02		1.7752		0.43566		1.0591		0.28356		1.3987		0.45708
80	1.0000e-02		1.5994		0.45524		0.9048		0.29186		1.3099		0.52587
85	1.0000e-02		1.6069		0.45891		1.1949		0.24868		1.2593		0.46996
90	1.0000e-02		2.0217		0.45684		1.3143		0.17969		1.3529		0.42645
95	1.0000e-02		1.8013		0.44049		1.4726		0.21672		1.7617		0.40077
100	1.0000e-02		1.5940		0.50212		1.3700		0.24683		1.7061		0.45838
105	1.0000e-02		1.6600		0.47792		0.9769		0.27401		1.1219		0.46567
110	1.0000e-02		1.4699		0.49874		1.6485		0.21006		1.0478		0.51500
115	1.0000e-02		1.1559		0.50706		1.9995		0.21329		1.1862		0.47356
120	1.0000e-03		1.1088		0.51350		1.6916		0.20083		0.8698		0.50679
125	1.0000e-03		0.9180		0.55330		1.7111		0.21584		0.9066		0.48658
130	1.0000e-03		1.0542		0.55851		1.6989		0.21538		0.9020		0.48266
135	1.0000e-03		0.9164		0.57896		1.9295		0.21080		0.8997		0.50449
140	1.0000e-03		0.7911		0.59608		1.7820		0.21816		0.8432		0.49401
145	1.0000e-03		1.0566		0.57592		1.8112		0.22806		0.8651		0.49643
150	1.0000e-03		1.0934		0.58430		1.9105		0.21760		0.9060		0.50970
155	1.0000e-03		0.9456		0.57163		1.8688		0.21467		0.9806		0.47415
160	1.0000e-03		1.0471		0.59526		1.9974		0.19580		0.8899		0.47920
165	1.0000e-03		0.7156		0.62214		1.9720		0.21212		0.8985		0.49455
170	1.0000e-03		0.8090		0.55316		1.7771		0.23002		0.9677		0.47786
175	1.0000e-04		0.7856		0.62496		2.6409		0.19377		0.8725		0.50319
180	1.0000e-04		0.7645		0.64515		2.3131		0.23219		0.8375		0.51024
185	1.0000e-04		0.6990		0.62985		2.1379		0.22772		0.8519		0.50225
190	1.0000e-04		0.9349		0.57780		1.6322		0.24518		0.9939		0.47466
195	1.0000e-04		0.9180		0.62094		1.8758		0.24493		0.8776		0.49918
200	1.0000e-04		0.7829		0.63161		1.8084		0.24635		0.8228		0.50609
205	1.0000e-04		0.7433		0.62622		1.6606		0.23775		1.0154		0.46370
210	1.0000e-04		0.8896		0.61611		2.0247		0.21839		0.8367		0.50361
215	1.0000e-04		0.7716		0.61199		1.8147		0.22674		0.9053		0.48923
220	1.0000e-04		0.7410		0.62377		1.8787		0.23182		0.8641		0.50354
