Program ID: 19729

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters in July 27th, 2019
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-27 08:40:52.701738
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 3,140,020 parameters.
Info: program will use 2 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	0.4549	0.4600	0.3714	0.6667		0.3989	0.6857	1.0000	0.0000		0.3845	0.7059	1.0000	0.0000
5	0.4316	0.4500	0.3714	0.6333		0.4037	0.3143	0.0417	0.9091		0.3915	0.3235	0.0417	1.0000
10	0.4068	0.5500	0.5714	0.5000		0.4072	0.5143	0.6667	0.1818		0.3793	0.6176	0.7083	0.4000
15	0.3994	0.5200	0.5000	0.5667		0.4078	0.5714	0.3750	1.0000		0.4532	0.3824	0.2917	0.6000
20	0.4008	0.6500	0.7000	0.5333		0.4178	0.5714	0.7500	0.1818		0.4763	0.5294	0.5833	0.4000
25	0.3426	0.7100	0.7429	0.6333		0.5478	0.4857	0.5833	0.2727		0.5743	0.4412	0.4167	0.5000
30	0.3279	0.7700	0.7857	0.7333		0.4596	0.6571	0.8333	0.2727		0.4860	0.6176	0.7083	0.4000
35	0.2543	0.8200	0.8286	0.8000		0.5366	0.6571	0.9167	0.0909		0.6064	0.6765	0.8750	0.2000
40	0.2301	0.8500	0.8429	0.8667		0.5077	0.7429	0.8750	0.4545		0.6010	0.6176	0.7500	0.3000
45	0.3050	0.8700	0.9143	0.7667		0.5316	0.5714	0.6250	0.4545		0.5973	0.6176	0.5833	0.7000
50	0.2799	0.8500	0.8429	0.8667		0.4387	0.7143	0.8750	0.3636		0.5240	0.6176	0.7500	0.3000
55	0.2456	0.8100	0.8143	0.8000		0.6264	0.6571	0.8333	0.2727		0.7223	0.6176	0.6667	0.5000
60	0.2727	0.8100	0.8143	0.8000		0.5811	0.6571	0.8333	0.2727		0.5306	0.7059	0.7917	0.5000
65	0.2295	0.8500	0.8429	0.8667		0.5799	0.6571	0.7917	0.3636		0.5455	0.6765	0.7500	0.5000
70	0.2435	0.8500	0.8571	0.8333		0.4957	0.6857	0.7500	0.5455		0.4258	0.6765	0.7083	0.6000
75	0.2847	0.8400	0.8286	0.8667		0.6598	0.6857	0.8333	0.3636		0.4891	0.7353	0.8333	0.5000
80	0.1761	0.8700	0.8429	0.9333		0.6702	0.6571	0.8333	0.2727		0.4940	0.7647	0.8750	0.5000
85	0.1566	0.8900	0.8857	0.9000		0.5751	0.6286	0.7917	0.2727		0.4738	0.7059	0.7917	0.5000
90	0.1595	0.8900	0.8571	0.9667		0.7338	0.6286	0.7500	0.3636		0.5542	0.6765	0.7083	0.6000
95	0.1523	0.9200	0.9143	0.9333		0.5463	0.6857	0.8333	0.3636		0.4995	0.6765	0.7500	0.5000
100	0.1606	0.9300	0.9143	0.9667		0.6228	0.6571	0.7500	0.4545		0.4800	0.7353	0.7917	0.6000
105	0.1400	0.8800	0.8857	0.8667		0.6273	0.6571	0.7083	0.5455		0.6407	0.6176	0.6667	0.5000
110	0.1543	0.9200	0.9143	0.9333		0.7792	0.6286	0.7500	0.3636		0.6858	0.6471	0.7083	0.5000
115	0.2063	0.9400	0.9571	0.9000		0.7516	0.7143	0.8333	0.4545		0.5465	0.7059	0.7917	0.5000
120	0.1767	0.9100	0.9000	0.9333		0.6699	0.6571	0.7917	0.3636		0.5446	0.7059	0.7917	0.5000
125	0.1628	0.9600	0.9714	0.9333		0.6881	0.6857	0.7917	0.4545		0.6298	0.6765	0.7917	0.4000
130	0.1693	0.9300	0.9571	0.8667		0.6481	0.6571	0.7083	0.5455		0.6403	0.6471	0.6250	0.7000
135	0.1496	0.9500	0.9571	0.9333		0.7052	0.6571	0.7917	0.3636		0.6113	0.7059	0.7917	0.5000
140	0.1680	0.9400	0.9571	0.9000		0.7184	0.6571	0.7500	0.4545		0.5717	0.6765	0.7500	0.5000
145	0.1022	0.9500	0.9571	0.9333		0.6696	0.6571	0.7917	0.3636		0.5599	0.6765	0.7500	0.5000
150	0.1661	0.9200	0.9143	0.9333		0.7195	0.6857	0.7917	0.4545		0.5863	0.7059	0.7917	0.5000
155	0.1793	0.9000	0.8857	0.9333		0.6991	0.6571	0.7917	0.3636		0.5870	0.6765	0.7500	0.5000
160	0.1149	0.9300	0.9143	0.9667		0.7081	0.6857	0.7917	0.4545		0.5982	0.6471	0.7083	0.5000
165	0.1288	0.9000	0.9000	0.9000		0.7333	0.6857	0.7917	0.4545		0.6160	0.6765	0.7500	0.5000
