Program ID: 10667

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-27 17:08:35.162085
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 1,235,220 parameters.
Info: program will use 2 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	0.4633	0.3700	0.2143	0.7333		0.4046	0.3143	0.0000	1.0000		0.3970	0.2941	0.0000	1.0000
5	0.4323	0.6300	0.6286	0.6333		0.4281	0.4857	0.5833	0.2727		0.4551	0.4412	0.5417	0.2000
10	0.2912	0.7600	0.7429	0.8000		0.6997	0.5429	0.7083	0.1818		0.6225	0.5294	0.5000	0.6000
15	0.3071	0.8000	0.7857	0.8333		0.7282	0.7143	0.8750	0.3636		0.9191	0.7059	0.7500	0.6000
20	0.3399	0.7800	0.7714	0.8000		0.9704	0.4286	0.2917	0.7273		0.9782	0.2941	0.2500	0.4000
25	0.2465	0.8200	0.8429	0.7667		1.6699	0.7429	1.0000	0.1818		1.8578	0.6176	0.8750	0.0000
30	0.1827	0.8800	0.8286	1.0000		0.6858	0.5714	0.5417	0.6364		0.9740	0.4118	0.3333	0.6000
35	0.1468	0.8800	0.8857	0.8667		1.0098	0.4286	0.3333	0.6364		1.1477	0.4706	0.3750	0.7000
40	0.2016	0.8200	0.7429	1.0000		0.9247	0.6857	0.7500	0.5455		0.7838	0.7353	0.7500	0.7000
45	0.1584	0.8500	0.8143	0.9333		1.0405	0.7143	0.8333	0.4545		1.1470	0.6765	0.7917	0.4000
50	0.1647	0.9000	0.8857	0.9333		0.9706	0.7143	0.8333	0.4545		1.0605	0.6765	0.7917	0.4000
55	0.1479	0.9400	0.9286	0.9667		1.0862	0.7714	0.8750	0.5455		1.2653	0.6765	0.7917	0.4000
60	0.1152	0.9500	0.9429	0.9667		1.2346	0.6286	0.6667	0.5455		1.1461	0.7059	0.7500	0.6000
65	0.1020	0.9300	0.9286	0.9333		1.5298	0.5429	0.5417	0.5455		1.5636	0.4118	0.3750	0.5000
70	0.1453	0.9100	0.8714	1.0000		1.1863	0.6286	0.7500	0.3636		0.9482	0.6765	0.7917	0.4000
75	0.1071	0.9500	0.9857	0.8667		1.2199	0.6857	0.7917	0.4545		1.2513	0.6765	0.7917	0.4000
80	0.0610	0.9500	0.9571	0.9333		1.5238	0.6286	0.7083	0.4545		1.4483	0.6471	0.7500	0.4000
85	0.0710	0.9500	0.9286	1.0000		1.4488	0.6571	0.7500	0.4545		1.5274	0.6765	0.7917	0.4000
90	0.1270	0.9500	0.9429	0.9667		1.3575	0.6857	0.7500	0.5455		1.4083	0.6765	0.7917	0.4000
95	0.1100	0.9400	0.9286	0.9667		1.4321	0.7143	0.7917	0.5455		1.5917	0.6765	0.7917	0.4000
100	0.0480	0.9600	0.9429	1.0000		1.4725	0.7143	0.7917	0.5455		1.4423	0.6765	0.7917	0.4000
105	0.0388	1.0000	1.0000	1.0000		1.4539	0.6571	0.7083	0.5455		1.3979	0.7059	0.7917	0.5000
110	0.0521	0.9700	0.9714	0.9667		1.5752	0.6571	0.7500	0.4545		1.4425	0.6765	0.7917	0.4000
115	0.0318	0.9900	0.9857	1.0000		1.4018	0.6571	0.7083	0.5455		1.3948	0.7059	0.7917	0.5000
120	0.0498	0.9900	0.9857	1.0000		1.5161	0.6571	0.7500	0.4545		1.3715	0.6765	0.7917	0.4000
125	0.0606	0.9700	0.9571	1.0000		1.8446	0.7143	0.8333	0.4545		1.5623	0.7353	0.8750	0.4000
130	0.0792	0.9500	0.9286	1.0000		1.5013	0.6857	0.7500	0.5455		1.5361	0.6765	0.7917	0.4000
135	0.0464	1.0000	1.0000	1.0000		1.5497	0.6857	0.7500	0.5455		1.5627	0.6471	0.7500	0.4000
140	0.0983	0.9600	0.9429	1.0000		1.4431	0.7143	0.7917	0.5455		1.4555	0.6765	0.7917	0.4000
145	0.0953	0.9600	0.9571	0.9667		1.4689	0.7143	0.7917	0.5455		1.4765	0.6765	0.7917	0.4000
150	0.0856	0.9700	0.9714	0.9667		1.6062	0.7143	0.7917	0.5455		1.5492	0.6765	0.7917	0.4000
155	0.0654	0.9800	0.9714	1.0000		1.3697	0.6857	0.7500	0.5455		1.4455	0.6765	0.7917	0.4000
160	0.1164	0.9500	0.9571	0.9333		1.5989	0.7143	0.7917	0.5455		1.6205	0.6765	0.7917	0.4000
165	0.0823	0.9500	0.9429	0.9667		1.4438	0.6857	0.7500	0.5455		1.4124	0.6765	0.7917	0.4000
170	0.0718	0.9900	1.0000	0.9667		1.5567	0.7143	0.7917	0.5455		1.4793	0.6765	0.7917	0.4000
175	0.0548	1.0000	1.0000	1.0000		1.5017	0.7143	0.7917	0.5455		1.5798	0.6765	0.7917	0.4000
180	0.0723	0.9800	0.9857	0.9667		1.4244	0.6857	0.7500	0.5455		1.3913	0.6471	0.7500	0.4000
185	0.0460	0.9700	0.9571	1.0000		1.4695	0.6857	0.7500	0.5455		1.4437	0.6471	0.7500	0.4000
190	0.0784	0.9900	0.9857	1.0000		1.4380	0.7143	0.7917	0.5455		1.4618	0.6765	0.7917	0.4000
195	0.1467	0.9700	0.9857	0.9333		1.5268	0.7143	0.7917	0.5455		1.5043	0.7059	0.8333	0.4000
200	0.0798	0.9700	0.9571	1.0000		1.6332	0.7143	0.7917	0.5455		1.5985	0.6765	0.7917	0.4000
205	0.0630	0.9600	0.9571	0.9667		1.5348	0.7143	0.7917	0.5455		1.5326	0.6765	0.7917	0.4000
210	0.0945	0.9900	0.9857	1.0000		1.4726	0.7143	0.7917	0.5455		1.4897	0.6471	0.7500	0.4000
215	0.0383	0.9900	0.9857	1.0000		1.5191	0.7143	0.7917	0.5455		1.5697	0.6471	0.7500	0.4000
220	0.0559	0.9800	0.9714	1.0000		1.4766	0.7143	0.7917	0.5455		1.5898	0.7059	0.8333	0.4000
225	0.0472	0.9800	0.9714	1.0000		1.4814	0.6857	0.7500	0.5455		1.5168	0.6471	0.7500	0.4000
230	0.0938	0.9600	0.9571	0.9667		1.4586	0.7143	0.7917	0.5455		1.5843	0.6471	0.7500	0.4000
235	0.0729	0.9600	0.9429	1.0000		1.5442	0.6857	0.7917	0.4545		1.5835	0.6765	0.7917	0.4000
240	0.0345	0.9900	0.9857	1.0000		1.5229	0.7143	0.7917	0.5455		1.5847	0.6765	0.7917	0.4000
245	0.1262	0.9800	0.9857	0.9667		1.5100	0.7143	0.7917	0.5455		1.5481	0.6765	0.7917	0.4000
250	0.0228	1.0000	1.0000	1.0000		1.5175	0.7143	0.7917	0.5455		1.4931	0.6471	0.7500	0.4000
255	0.0780	0.9700	0.9714	0.9667		1.3891	0.7143	0.7917	0.5455		1.4512	0.6765	0.7917	0.4000
260	0.0934	0.9700	0.9714	0.9667		1.5692	0.7143	0.7917	0.5455		1.6059	0.6765	0.7917	0.4000
265	0.0763	0.9800	0.9714	1.0000		1.5049	0.7143	0.7917	0.5455		1.4817	0.6765	0.7917	0.4000
270	0.0220	0.9900	0.9857	1.0000		1.3909	0.7143	0.7917	0.5455		1.4700	0.6471	0.7500	0.4000
275	0.0877	0.9800	0.9857	0.9667		1.5104	0.6857	0.7500	0.5455		1.4959	0.6471	0.7500	0.4000
280	0.0864	0.9600	0.9429	1.0000		1.5023	0.7143	0.7917	0.5455		1.5384	0.6765	0.7917	0.4000
285	0.0320	0.9900	0.9857	1.0000		1.4523	0.6857	0.7500	0.5455		1.4392	0.6471	0.7500	0.4000
290	0.0651	0.9900	0.9857	1.0000		1.5030	0.7143	0.7917	0.5455		1.6043	0.6765	0.7917	0.4000
295	0.0656	0.9800	0.9714	1.0000		1.5285	0.6857	0.7500	0.5455		1.4869	0.6471	0.7500	0.4000
300	0.0381	0.9900	0.9857	1.0000		1.4942	0.6857	0.7500	0.5455		1.5515	0.6471	0.7500	0.4000
305	0.0728	0.9700	0.9571	1.0000		1.5244	0.7143	0.7917	0.5455		1.6080	0.7059	0.8333	0.4000
310	0.0609	0.9800	0.9714	1.0000		1.4103	0.7143	0.7917	0.5455		1.4966	0.6471	0.7500	0.4000
315	0.0690	0.9800	0.9857	0.9667		1.5293	0.7143	0.7917	0.5455		1.6018	0.6765	0.7917	0.4000
320	0.0577	0.9700	0.9571	1.0000		1.5232	0.7143	0.7917	0.5455		1.5755	0.6471	0.7500	0.4000
325	0.0615	0.9700	0.9714	0.9667		1.4599	0.7143	0.7917	0.5455		1.5397	0.6765	0.7917	0.4000
330	0.1068	0.9800	0.9857	0.9667		1.3833	0.7143	0.7917	0.5455		1.4687	0.6471	0.7500	0.4000
335	0.0741	0.9500	0.9429	0.9667		1.4888	0.6857	0.7500	0.5455		1.4825	0.6471	0.7500	0.4000
340	0.0815	0.9700	0.9714	0.9667		1.4543	0.7143	0.7917	0.5455		1.5928	0.6765	0.7917	0.4000
345	0.1086	0.9700	0.9857	0.9333		1.4164	0.7143	0.7917	0.5455		1.4665	0.6765	0.7917	0.4000
350	0.0345	1.0000	1.0000	1.0000		1.4297	0.7143	0.7917	0.5455		1.4575	0.6765	0.7917	0.4000
355	0.0524	0.9800	0.9714	1.0000		1.4866	0.6857	0.7500	0.5455		1.5050	0.6471	0.7500	0.4000
360	0.1202	0.9700	0.9714	0.9667		1.4886	0.7143	0.7917	0.5455		1.5639	0.6765	0.7917	0.4000
365	0.0533	1.0000	1.0000	1.0000		1.4195	0.6857	0.7500	0.5455		1.5218	0.6471	0.7500	0.4000
370	0.0381	1.0000	1.0000	1.0000		1.4838	0.7143	0.7917	0.5455		1.5104	0.6765	0.7917	0.4000
375	0.0598	0.9800	0.9714	1.0000		1.4980	0.6857	0.7500	0.5455		1.4746	0.6471	0.7500	0.4000
380	0.0827	0.9700	0.9714	0.9667		1.4553	0.6857	0.7500	0.5455		1.4513	0.6765	0.7500	0.5000
385	0.0639	0.9600	0.9429	1.0000		1.4478	0.6857	0.7500	0.5455		1.4796	0.6471	0.7500	0.4000
390	0.0610	0.9800	0.9714	1.0000		1.4351	0.6857	0.7500	0.5455		1.5309	0.6471	0.7500	0.4000
395	0.0767	0.9800	0.9714	1.0000		1.5635	0.7143	0.7917	0.5455		1.6356	0.6765	0.7917	0.4000
400	0.0880	0.9700	0.9571	1.0000		1.4690	0.6857	0.7917	0.4545		1.5061	0.7059	0.8333	0.4000
405	0.0194	1.0000	1.0000	1.0000		1.4522	0.6857	0.7500	0.5455		1.4439	0.6471	0.7500	0.4000


 training loss less than 0.02, Program exit.


=============END of Training of ResAttentionNet Predict Model =================

Program Ending Time: 2019-07-27 18:17:23.519064
