Program ID: 13195

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-29 11:34:01.024309
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 155,268 parameters.
Info: program will use 2 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	0.4277	0.4900	0.4571	0.5667		0.3994	0.6857	1.0000	0.0000		0.3887	0.7059	1.0000	0.0000
5	0.3388	0.6500	0.5714	0.8333		0.4770	0.6000	0.8333	0.0909		0.4343	0.6765	0.9167	0.1000
10	0.3555	0.7100	0.7714	0.5667		0.6165	0.5714	0.6667	0.3636		0.5977	0.5882	0.6250	0.5000
15	0.2406	0.8100	0.7714	0.9000		0.7263	0.6857	0.8333	0.3636		0.7118	0.6471	0.7500	0.4000
20	0.2718	0.7400	0.7429	0.7333		1.1595	0.6571	0.7083	0.5455		0.9555	0.6176	0.6667	0.5000
25	0.2223	0.8900	0.9000	0.8667		1.0842	0.7429	0.9167	0.3636		0.9529	0.6471	0.8333	0.2000
30	0.1742	0.8900	0.8714	0.9333		1.0017	0.5429	0.4583	0.7273		0.9275	0.5000	0.3750	0.8000
35	0.2235	0.8800	0.9000	0.8333		0.7201	0.7143	0.8750	0.3636		0.8993	0.6471	0.7083	0.5000
40	0.1666	0.8800	0.8286	1.0000		1.0148	0.7143	0.8750	0.3636		0.9034	0.7059	0.7917	0.5000
45	0.2769	0.8800	0.8857	0.8667		0.9113	0.6571	0.7083	0.5455		0.8615	0.5882	0.6250	0.5000
50	0.1480	0.9300	0.9286	0.9333		1.4132	0.7143	0.8750	0.3636		1.2023	0.6765	0.7917	0.4000
55	0.2220	0.9200	0.9143	0.9333		1.2336	0.6286	0.7500	0.3636		1.0570	0.6765	0.7500	0.5000
60	0.1610	0.9300	0.9286	0.9333		1.0528	0.4571	0.4167	0.5455		0.9548	0.5000	0.3750	0.8000
65	0.1540	0.9000	0.8857	0.9333		1.2997	0.6571	0.8333	0.2727		0.7597	0.7059	0.7917	0.5000
70	0.1447	0.9200	0.9286	0.9000		1.0680	0.6286	0.7500	0.3636		0.8921	0.6765	0.7500	0.5000
75	0.1194	0.9600	0.9714	0.9333		1.1744	0.6857	0.7917	0.4545		1.0795	0.6765	0.7500	0.5000
80	0.0826	0.9500	0.9286	1.0000		1.1776	0.6000	0.7083	0.3636		1.0499	0.6765	0.7500	0.5000
85	0.1380	0.9600	0.9571	0.9667		1.1605	0.5714	0.5000	0.7273		1.3289	0.3824	0.2500	0.7000
90	0.1334	0.9200	0.9143	0.9333		1.0909	0.6286	0.7083	0.4545		1.0871	0.7059	0.7500	0.6000
95	0.0808	0.9600	0.9714	0.9333		1.0835	0.5714	0.6250	0.4545		1.0191	0.6471	0.6667	0.6000
100	0.0946	0.9400	0.9429	0.9333		1.1161	0.5714	0.6250	0.4545		1.0891	0.6176	0.5833	0.7000
105	0.0563	0.9700	0.9571	1.0000		1.1471	0.6286	0.7083	0.4545		1.0291	0.6176	0.7083	0.4000
110	0.0421	0.9900	0.9857	1.0000		1.1211	0.6286	0.6667	0.5455		1.0152	0.6176	0.6250	0.6000
115	0.0744	0.9700	0.9714	0.9667		1.1133	0.5714	0.6250	0.4545		0.9274	0.6765	0.6667	0.7000
