=============training from sratch============
Program ID: 21606

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/STNResNeXt', '/home/hxie1/data/OvarianCancerCT/pixelSize223/numpy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            6    at July 29th 12:41, 2019:
                    add GPUID in command line;
                    use SGD optimizer, instead of Adam
                    add numbers of filters along deeper layer with step 12.
                    add saveDir's tims stamp;
            7    at July 29th 15:18, 2019,
                    change learning rate step_size = 5 from 10;
                    before FC, we use conv2d
                    learning rate start at 0.5.
            8    at July 30th 03:00, 2019:
                    add learning rate print;
                    use convStride =2;
                    add filter number by 2 times along deeper layers.
            9    at July 30th, 10:13, 2019:
                    add MaxPool2d in stage1;
                    add final filters to 2048.
            10   at July 30th, 15:23, 2019
                    final conv layer filter number: 1024
            11   at Aug 10th, 2019:
                    A. Add new patient data; and exclude non-standard patient data;
                    B. test the k-th fold,  validation on the (k+1)th fold;
                    C. new inputsize: 231*251*251 with pixels size 3*2*2 mm
                    D. data normalize into [0,1] after window level shresthold [0,300]
                    E. put data padding in to converting from nrrd to numpy;
                    
                                                        
                    
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   total 220 patients, 5-fold cross validation, test 45, validation 45, and training 130.  

Training strategy: 

          

Program starting Time: 2019-08-10 14:40:24.524621
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/STNResNeXt/20190810_144024

Info: this is the 0th fold leave for test in the 5-fold cross-validation.

Infor: In all data of 220 files, label 0 has 77 files,
	  and label 1 has 143 files, where positive response rate = 0.65 in full data
5-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.
test dataset:	 total 45 files, where 1 has 29.0 with rate of 0.6444444444444445
training dataset:	 total 130 files, where 1 has 85.0 with rate of 0.6538461538461539
validation dataset:	 total 45 files, where 1 has 29.0 with rate of 0.6444444444444445
=== Network trains from scratch ====
Network has total 90,389,606 parameters.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	LearningRate		TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	1.0000e-04		0.4850	0.5462	0.5882	0.4667		0.4800	0.3556	0.0000	1.0000		0.4800	0.3556	0.0000	1.0000
5	1.0000e-04		0.5051	0.4923	0.5294	0.4222		0.5092	0.3556	0.0000	1.0000		0.5221	0.3556	0.0000	1.0000
10	9.5000e-05		0.5190	0.6462	0.8941	0.1778		0.4711	0.6000	0.6552	0.5000		0.4894	0.5111	0.5862	0.3750
15	9.5000e-05		0.4796	0.6077	0.6941	0.4444		0.4937	0.5333	0.5172	0.5625		0.4952	0.4889	0.3103	0.8125
20	9.0250e-05		0.5473	0.5308	0.6824	0.2444		0.4983	0.4889	0.5172	0.4375		0.4839	0.4889	0.4483	0.5625
25	9.0250e-05		0.4909	0.6154	0.7882	0.2889		0.4874	0.4889	0.5862	0.3125		0.5213	0.5333	0.6207	0.3750
30	8.5737e-05		0.5060	0.4462	0.3647	0.6000		0.4695	0.6000	0.6552	0.5000		0.4948	0.5778	0.6552	0.4375
35	8.5737e-05		0.5159	0.5308	0.5529	0.4889		0.5588	0.6222	0.8621	0.1875		0.4993	0.7111	0.9655	0.2500
40	8.1451e-05		0.5362	0.6462	0.8824	0.2000		0.4720	0.5111	0.3103	0.8750		0.4910	0.4889	0.2759	0.8750
45	8.1451e-05		0.4967	0.4000	0.1647	0.8444		0.4464	0.5778	0.6207	0.5000		0.5369	0.5111	0.6552	0.2500
50	7.7378e-05		0.5208	0.5308	0.6235	0.3556		0.4551	0.5778	0.6897	0.3750		0.5329	0.5333	0.6897	0.2500
55	7.7378e-05		0.4929	0.5154	0.5294	0.4889		0.4798	0.6222	0.6552	0.5625		0.5141	0.5556	0.6897	0.3125
60	7.3509e-05		0.4879	0.6000	0.7294	0.3556		0.4769	0.6444	0.7586	0.4375		0.5501	0.6000	0.7931	0.2500
65	7.3509e-05		0.5132	0.5538	0.6353	0.4000		0.4967	0.4889	0.4483	0.5625		0.5181	0.5111	0.5517	0.4375
70	6.9834e-05		0.5175	0.4385	0.3176	0.6667		0.5045	0.4889	0.4138	0.6250		0.4942	0.5111	0.4138	0.6875
75	6.9834e-05		0.4753	0.5154	0.3765	0.7778		0.4747	0.5556	0.5517	0.5625		0.5055	0.5333	0.6552	0.3125
80	6.6342e-05		0.4966	0.4692	0.3176	0.7556		0.5024	0.5333	0.5862	0.4375		0.5032	0.5333	0.5862	0.4375
85	6.6342e-05		0.4995	0.5538	0.4941	0.6667		0.5282	0.6222	0.8276	0.2500		0.5495	0.6444	0.8966	0.1875
90	6.3025e-05		0.4747	0.6462	0.7647	0.4222		0.4707	0.5111	0.4828	0.5625		0.4696	0.5333	0.4828	0.6250
95	6.3025e-05		0.4698	0.6538	0.7882	0.4000		0.4668	0.6222	0.6552	0.5625		0.5217	0.5556	0.7241	0.2500
100	5.9874e-05		0.4886	0.4923	0.4353	0.6000		0.5238	0.5333	0.6552	0.3125		0.5469	0.6222	0.8276	0.2500
105	5.9874e-05		0.5043	0.4231	0.2824	0.6889		0.4913	0.5778	0.6552	0.4375		0.4833	0.6222	0.8621	0.1875
110	5.6880e-05		0.4997	0.5769	0.6824	0.3778		0.5008	0.6000	0.7241	0.3750		0.5231	0.5778	0.7931	0.1875
115	5.6880e-05		0.4839	0.5769	0.6588	0.4222		0.4782	0.6444	0.7241	0.5000		0.4904	0.6222	0.7931	0.3125
120	5.4036e-05		0.4722	0.5308	0.5294	0.5333		0.4669	0.5556	0.6552	0.3750		0.4774	0.6000	0.6552	0.5000
125	5.4036e-05		0.4917	0.5000	0.4471	0.6000		0.4899	0.6222	0.6207	0.6250		0.4942	0.6000	0.7241	0.3750
130	5.1334e-05		0.4900	0.5615	0.6941	0.3111		0.4778	0.5778	0.5862	0.5625		0.4934	0.5778	0.6207	0.5000
