=============training inheritates previous training of /home/hxie1/temp_netParameters/OvarianCancer/TripleNet/20190827_132908 ============
Program ID: 7730

Program command: 
 ['TrainTriplePredictNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/TripleNet/20190827_132908', '0', '/home/hxie1/data/OvarianCancerCT/pixelSize223/numpy', '/home/hxie1/data/OvarianCancerCT/patientTripleResults.json', '0', '2,3']

Major program changes: 
           1   Triple label: sugrical result, chemo result, survival
           2   Print result only for optimal response, which is and operation of above 3 results;
                  



Discarded changes:                  


Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   total 220 patients, 5-fold cross validation, test 45, validation 45, and training 130.  

Training strategy: 

          

Program starting Time: 2019-08-28 15:16:07.667594
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/TripleNet/20190827_132908

Info: this is the 0th fold leave for test in the 5-fold cross-validation.

Program statistics label according to label[0] for each sample.
Infor: In all data of 220 files, label 0 has 50 files,
	  and label 1 has 170 files, where positive response rate = 0.7727272727272727 in full data
5-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.


training dataset:	 total (132, 3) ground truth

 		 in the 0-th coloumn, 1 has 102.0 with rate of 0.7727272727272727
 		 in the 1-th coloumn, 1 has 101.0 with rate of 0.7651515151515151
 		 in the 2-th coloumn, 1 has 124.0 with rate of 0.9393939393939394


validation dataset:	 total (44, 3) ground truth

 		 in the 0-th coloumn, 1 has 34.0 with rate of 0.7727272727272727
 		 in the 1-th coloumn, 1 has 31.0 with rate of 0.7045454545454546
 		 in the 2-th coloumn, 1 has 42.0 with rate of 0.9545454545454546


test dataset:	 total (44, 3) ground truth

 		 in the 0-th coloumn, 1 has 34.0 with rate of 0.7727272727272727
 		 in the 1-th coloumn, 1 has 31.0 with rate of 0.7045454545454546
 		 in the 2-th coloumn, 1 has 41.0 with rate of 0.9318181818181818
Info: batchSize = 8

Program loads net from /home/hxie1/temp_netParameters/OvarianCancer/TripleNet/20190827_132908.
Current best test performance: 0
Network has total 45,565,621 parameters.
This predicts surgical results, chemo result, survival at same time.
Info: program will use GPU [2, 3] from all 4 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	LearningRate		TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	1.0000e-04		1.1769	0.7955	1.0000	0.3721		12.7549	0.6364	0.9630	0.1176		14.4458	0.5909	0.9259	0.0588
5	1.0000e-04		1.3890	0.7955	1.0000	0.3721		12.5602	0.6591	0.9630	0.1765		14.7277	0.5682	0.9259	0.0000
10	1.0000e-04		1.1598	0.7879	1.0000	0.3488		12.9891	0.5909	0.9259	0.0588		13.7515	0.6136	0.9259	0.1176
15	1.0000e-04		1.2394	0.8030	1.0000	0.3953		12.4688	0.6818	1.0000	0.1765		14.7900	0.5682	0.9259	0.0000
20	1.0000e-04		1.4266	0.8258	1.0000	0.4651		13.1234	0.6364	0.9630	0.1176		14.8904	0.5909	0.9630	0.0000
25	1.0000e-04		1.2975	0.7727	0.9888	0.3256		13.2423	0.6364	1.0000	0.0588		15.3524	0.5455	0.8889	0.0000
30	1.0000e-04		1.1742	0.7803	1.0000	0.3256		12.9805	0.6591	1.0000	0.1176		15.6039	0.5682	0.8889	0.0588
35	1.0000e-04		1.2593	0.8106	1.0000	0.4186		12.3592	0.6136	0.9630	0.0588		15.5212	0.5455	0.8889	0.0000
40	1.0000e-04		1.2055	0.8182	1.0000	0.4419		12.7756	0.6818	1.0000	0.1765		15.0593	0.5455	0.8889	0.0000
45	1.0000e-04		1.1845	0.7803	1.0000	0.3256		12.4914	0.6591	1.0000	0.1176		15.2578	0.5455	0.8889	0.0000
50	1.0000e-05		1.1614	0.7803	1.0000	0.3256		12.5666	0.6364	1.0000	0.0588		15.2286	0.5682	0.9259	0.0000
55	1.0000e-05		1.2778	0.8182	1.0000	0.4419		12.7342	0.6591	1.0000	0.1176		15.5407	0.5455	0.8889	0.0000
60	1.0000e-05		1.2702	0.7955	1.0000	0.3721		13.0342	0.6818	1.0000	0.1765		14.8796	0.5909	0.9259	0.0588
65	1.0000e-05		1.2241	0.7879	1.0000	0.3488		12.5970	0.6136	0.9630	0.0588		14.8677	0.5455	0.8889	0.0000
70	1.0000e-05		1.3376	0.7727	1.0000	0.3023		12.7598	0.6591	1.0000	0.1176		15.6695	0.5682	0.9259	0.0000
75	1.0000e-05		1.2123	0.7803	1.0000	0.3256		13.0956	0.6136	0.9630	0.0588		14.2180	0.6136	0.9259	0.1176
80	1.0000e-05		1.1272	0.7955	1.0000	0.3721		12.9161	0.6591	1.0000	0.1176		15.0389	0.5682	0.9259	0.0000
85	1.0000e-05		1.1461	0.7955	1.0000	0.3721		12.8089	0.6591	0.9630	0.1765		15.0083	0.5909	0.9259	0.0588
