Program ID of SkyWatcher Network training:5598

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Labels_ROI_23_127_127', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-10 16:12:26.598419
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files 
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = 128* (1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 8,134,012 parameters.
Infor: Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 4 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r
0	0.8559	0.097	0.097	0.039	0.813	0.455	0.405	0.6161	0.8354	22.0217	0.039	0.023	0.022	0.181	0.095	0.080	0.7083	1.0000
1	0.6135	0.000	0.000	0.000	0.000	0.000	0.000	0.6765	1.0000	1.4941	0.093	0.089	0.038	0.657	0.374	0.137	0.6667	1.0000
2	0.5855	0.000	0.000	0.000	0.000	0.000	0.000	0.7308	1.0000	7.2192	0.101	0.095	0.059	0.540	0.263	0.311	0.7083	1.0000
3	0.5551	0.000	0.000	0.000	0.000	0.000	0.000	0.6912	1.0000	0.5403	0.178	0.241	0.110	0.968	0.864	0.415	0.7083	1.0000
4	0.4989	0.000	0.000	0.000	0.000	0.000	0.000	0.6833	1.0000	0.6477	0.167	0.163	0.126	0.668	0.399	0.474	0.7500	1.0000
5	0.4755	0.228	0.340	0.103	0.911	0.639	0.610	0.7054	1.0000	0.7648	0.192	0.218	0.144	0.759	0.356	0.604	0.6667	1.0000
6	0.4428	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.5950	0.211	0.241	0.179	0.705	0.442	0.600	0.7500	1.0000
7	0.4378	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.4875	0.190	0.234	0.128	0.867	0.776	0.511	0.7083	1.0000
8	0.4539	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.5063	0.207	0.165	0.182	0.643	0.373	0.576	0.7083	1.0000
9	0.4718	0.000	0.000	0.000	0.000	0.000	0.000	0.7000	1.0000	3.6407	0.106	0.090	0.068	0.488	0.219	0.283	0.7083	1.0000
10	0.4398	0.212	0.357	0.121	0.929	0.773	0.746	0.7054	1.0000	0.4593	0.196	0.151	0.155	0.972	0.336	0.907	0.6667	1.0000
11	0.4132	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.6011	0.218	0.289	0.163	0.807	0.506	0.640	0.6667	1.0000
12	0.3891	0.000	0.000	0.000	0.000	0.000	0.000	0.6833	1.0000	0.5658	0.199	0.243	0.174	0.785	0.321	0.881	0.6667	1.0000
13	0.4034	0.000	0.000	0.000	0.000	0.000	0.000	0.6750	1.0000	1.3257	0.170	0.137	0.162	0.679	0.255	0.631	0.7083	1.0000
14	0.3924	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.4924	0.243	0.282	0.200	0.769	0.408	0.735	0.7083	1.0000
15	0.5028	0.232	0.357	0.123	0.922	0.704	0.595	0.7054	1.0000	0.4685	0.213	0.330	0.173	0.958	0.640	0.747	0.6667	1.0000
16	0.5177	0.000	0.000	0.000	0.000	0.000	0.000	0.7143	1.0000	0.6721	0.201	0.231	0.111	0.904	0.561	0.414	0.7500	1.0000
17	0.4491	0.000	0.000	0.000	0.000	0.000	0.000	0.7656	1.0000	0.6272	0.250	0.313	0.218	0.785	0.375	0.819	0.7083	1.0000
18	0.4228	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6896	0.232	0.263	0.222	0.723	0.405	0.670	0.6667	1.0000
19	0.3914	0.000	0.000	0.000	0.000	0.000	0.000	0.7222	1.0000	0.4592	0.253	0.269	0.248	0.876	0.702	0.702	0.6667	1.0000
