Program ID of SkyWatcher Network training:27933

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/labels_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test imageDataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      And Only when epoch %5 ==0, print log and save.
                      use batchSize = 9, and 3GPU  training.
                      along deeper layer, increase filter number.
                      put all data into local GPU sever.
                      10 fold cross validation, 0 fold for test.
                      data partition with patient ID, instead of VOI.
                      in image3dResponseDataMgr, random Crop ROI in the fly.
                      erase normalization layers  in the fully connected layers.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-22 01:13:44.909105
Info: this is the 0th fold leave for test in the 10-fold cross-validation.

Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 169 input files.
Infor: In all data of 169 files, respone 0 has 51 files,
	  and response 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: Validation Set has 16 files,and Training Set has 153 files
Infor: Validataion set has 11 1's, and positive response rate = 0.6875
Infor: trainning set has 107 1's, and positive response rate = 0.6993464052287581
Infor: the drop_last data in the dataMgr may lead the number of validation set and training set less than above number.
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=9, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (512, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 21,463,612 parameters.
Infor: Response Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 3 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r		TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r
0	0.7012	0.070	0.110	0.024	0.896	0.802	0.139	0.6144	0.7850	0.2174		8.8352	0.061	0.146	0.004	0.598	0.358	0.142	0.7500	0.8182	0.6000
5	0.6815	0.022	0.020	0.005	0.201	0.146	0.022	0.5033	0.5047	0.5000		0.6965	0.029	0.000	0.000	0.294	0.000	0.000	0.3125	0.0909	0.8000
10	0.6538	0.071	0.000	0.045	0.637	0.000	0.689	0.6340	0.8131	0.2174		0.6475	0.077	0.000	0.043	1.000	0.000	1.000	0.6250	0.9091	0.0000
15	0.6349	0.042	0.005	0.030	0.432	0.011	0.413	0.6078	0.6449	0.5217		0.6384	0.083	0.000	0.046	0.950	0.000	0.937	0.6250	0.9091	0.0000
20	0.6191	0.092	0.005	0.062	0.556	0.003	0.648	0.4771	0.4206	0.6087		0.6379	0.111	0.000	0.057	0.749	0.000	0.658	0.5625	0.3636	1.0000
25	0.5843	0.154	0.009	0.103	0.819	0.017	0.867	0.5882	0.6262	0.5000		0.5968	0.117	0.000	0.060	0.931	0.000	0.913	0.5625	0.6364	0.4000
30	0.5884	0.165	0.018	0.085	0.725	0.012	0.739	0.4183	0.3084	0.6739		0.6107	0.123	0.000	0.071	0.882	0.000	0.858	0.3125	0.0000	1.0000
35	0.5777	0.151	0.013	0.093	0.658	0.008	0.699	0.6405	0.7383	0.4130		0.5821	0.146	0.000	0.080	0.872	0.000	0.838	0.4375	0.6364	0.0000
40	0.5517	0.195	0.006	0.122	0.763	0.004	0.779	0.6732	0.9252	0.0870		0.6026	0.131	0.000	0.084	0.940	0.000	0.924	0.5625	0.8182	0.0000
45	0.5569	0.158	0.003	0.105	0.637	0.002	0.660	0.6667	0.8972	0.1304		0.5181	0.170	0.000	0.105	0.851	0.000	0.838	0.6250	0.9091	0.0000
50	0.5489	0.164	0.022	0.077	0.730	0.058	0.650	0.6144	0.7944	0.1957		0.5415	0.138	0.005	0.090	0.957	0.003	0.918	0.6250	0.8182	0.2000
55	0.5073	0.170	0.243	0.074	0.691	0.303	0.485	0.6732	0.9533	0.0217		0.5539	0.158	0.398	0.114	0.880	0.921	0.780	0.6250	0.9091	0.0000
60	0.5157	0.142	0.253	0.064	0.769	0.613	0.508	0.6928	0.9813	0.0217		0.6147	0.112	0.353	0.043	0.999	1.000	0.660	0.6875	1.0000	0.0000
65	0.4964	0.201	0.375	0.092	0.727	0.602	0.527	0.6144	0.8505	0.0652		0.5073	0.106	0.368	0.052	0.520	0.754	0.345	0.4375	0.6364	0.0000
70	0.5072	0.168	0.349	0.080	0.831	0.732	0.589	0.6601	0.8692	0.1739		0.4878	0.152	0.362	0.095	0.885	0.392	0.856	0.6250	0.8182	0.2000
75	0.4982	0.152	0.297	0.074	0.804	0.677	0.569	0.6732	0.9533	0.0217		0.5412	0.116	0.482	0.042	0.680	0.889	0.387	0.6875	1.0000	0.0000
80	0.5055	0.164	0.332	0.095	0.742	0.675	0.606	0.5948	0.7196	0.3043		0.5118	0.118	0.322	0.085	0.566	0.384	0.473	0.6250	0.7273	0.4000
85	0.5055	0.149	0.340	0.068	0.902	0.697	0.684	0.5882	0.7757	0.1522		0.4784	0.124	0.398	0.074	0.875	0.731	0.792	0.3125	0.4545	0.0000
90	0.4808	0.130	0.319	0.081	0.896	0.732	0.793	0.5948	0.6449	0.4783		0.4532	0.158	0.439	0.117	0.870	0.639	0.806	0.5625	0.5455	0.6000
95	0.4770	0.151	0.308	0.093	0.865	0.802	0.657	0.6013	0.7664	0.2174		0.4711	0.161	0.390	0.113	0.880	0.921	0.729	0.6875	1.0000	0.0000
100	0.4696	0.132	0.285	0.087	0.929	0.852	0.771	0.6275	0.7664	0.3043		0.4738	0.135	0.344	0.085	0.859	0.456	0.833	0.6250	0.9091	0.0000
105	0.5568	0.171	0.293	0.083	0.887	0.728	0.638	0.6405	0.8785	0.0870		0.5714	0.117	0.197	0.102	0.940	0.336	0.908	0.5625	0.8182	0.0000
110	0.5004	0.144	0.250	0.087	0.803	0.682	0.648	0.5294	0.5888	0.3913		0.5560	0.152	0.000	0.090	0.867	0.000	0.832	0.5000	0.6364	0.2000
115	0.5196	0.158	0.293	0.106	0.891	0.767	0.729	0.4771	0.3458	0.7826		0.5091	0.133	0.414	0.109	0.957	0.749	0.869	0.5625	0.5455	0.6000
120	0.4581	0.193	0.404	0.099	0.908	0.808	0.724	0.5686	0.5888	0.5217		0.4838	0.147	0.408	0.101	0.852	0.796	0.584	0.5000	0.7273	0.0000
125	0.4686	0.164	0.354	0.096	0.912	0.795	0.817	0.5817	0.6916	0.3261		0.4227	0.147	0.366	0.112	0.909	0.388	0.902	0.6250	0.7273	0.4000
130	0.4890	0.189	0.391	0.099	0.931	0.760	0.762	0.6078	0.8224	0.1087		0.4696	0.151	0.392	0.114	0.933	0.832	0.810	0.5625	0.8182	0.0000
135	0.4671	0.168	0.325	0.083	0.907	0.828	0.746	0.5490	0.6075	0.4130		0.4466	0.151	0.339	0.144	0.961	0.646	0.929	0.4375	0.6364	0.0000
140	0.4580	0.155	0.251	0.110	0.803	0.784	0.663	0.6667	0.8785	0.1739		0.4379	0.139	0.443	0.109	0.833	0.745	0.778	0.6250	0.9091	0.0000
145	0.4445	0.150	0.276	0.095	0.859	0.796	0.649	0.5621	0.5981	0.4783		0.4371	0.137	0.386	0.099	0.931	0.790	0.883	0.4375	0.6364	0.0000
150	0.4646	0.143	0.308	0.093	0.888	0.809	0.657	0.6993	0.9159	0.1957		0.4514	0.186	0.426	0.143	0.903	0.950	0.760	0.6250	0.9091	0.0000
155	0.4436	0.143	0.251	0.107	0.854	0.785	0.678	0.7124	0.9065	0.2609		0.6287	0.178	0.000	0.137	0.741	0.000	0.765	0.5625	0.8182	0.0000
160	0.4188	0.152	0.303	0.122	0.880	0.845	0.768	0.6536	0.8131	0.2826		0.5465	0.164	0.354	0.115	0.968	0.988	0.763	0.5625	0.8182	0.0000
165	0.4966	0.171	0.274	0.101	0.903	0.766	0.665	0.7059	0.9346	0.1739		0.3911	0.170	0.473	0.124	0.918	0.936	0.824	0.4375	0.6364	0.0000
170	0.4402	0.153	0.279	0.129	0.928	0.876	0.776	0.6601	0.8131	0.3043		0.4173	0.153	0.400	0.131	0.909	0.984	0.830	0.6250	0.8182	0.2000
