Program ID of SkyWatcher Network training:32214

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/labels_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
                      along deeper layer, increase filter number.
                      10 fold cross validation, 0 fold for test.
                      data partition with patient ID, instead of VOI.
                      in image3dResponseDataMgr, random Crop ROI in the fly.
                      erase normalization layers  in the fully connected layers.
                      Crop ROI around the mass center in each labeled slice. 
                      use reSampleForSameDistribution in training set, but keep original ditribution in the test set
                      First implement 1000 epochs in the segmentation path, and then freeze the encoder and decoder, only train the ResponseBranch.  
                      epoch < 1000, the loss is pure segmentation loss;
                      epoch >= 1000, the loss is pure response loss with reinitialized learning rate 1e-3.
                      add FC layer width = 980.
                      without dropout.
                                                    
 
Discarded changes:                      
                      training response branch per 5 epoch after epoch 100, while continuing train the segmenation branch.
                      which means that before epoch 100, the accuray data is a mess.
                      Add L2 norm regularization in Adam optimizer with weight 5e-4. 
                      Add dropout at Fully connected layer with dropout rate of 50%.     
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-07-03 11:28:51.156636
Info: this is the 0th fold leave for test in the 10-fold cross-validation.

Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 169 input files.
Infor: In all data of 169 files, respone 0 has 51 files,
	  and response 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: Validation Set has 16 files,and Training Set has 153 files
Infor: Validataion set has 11 1's, and positive response rate = 0.6875
Infor: trainning set has 107 1's, and positive response rate = 0.6993464052287581
Infor: the drop_last data in the dataMgr may lead the number of validation set and training set less than above number.
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=9, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (512, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 23,396,593 parameters.
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 3 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
when epoch < 1000, only train segmentation, which means response accuracy are meaningless at these epoch.
when epoch >= 1000, only training response branch, which means segmentation accuracy should keep unchange.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r		TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r
0	1.0521	0.080	0.018	0.045	0.999	0.020	0.977	0.4720	0.6075	0.3364		5.2166	0.111	0.001	0.059	0.826	0.000	0.670	0.6250	0.6364	0.6000
5	0.3726	0.177	0.140	0.093	0.849	0.263	0.647	0.5140	0.3551	0.6729		0.5947	0.187	0.000	0.111	0.990	0.000	0.990	0.6875	0.6364	0.8000
10	0.3586	0.173	0.293	0.093	0.859	0.465	0.655	0.5000	0.3925	0.6075		0.5929	0.232	0.294	0.100	0.965	0.256	0.641	0.7500	0.7273	0.8000
15	0.3223	0.180	0.277	0.113	0.884	0.382	0.772	0.5421	0.3178	0.7664		0.4703	0.194	0.406	0.121	0.944	0.705	0.817	0.6250	0.4545	1.0000
20	0.3186	0.188	0.359	0.123	0.909	0.759	0.662	0.4673	0.4579	0.4766		0.5175	0.279	0.304	0.197	0.852	0.323	0.928	0.6875	0.8182	0.4000
25	0.2889	0.195	0.334	0.137	0.886	0.678	0.737	0.4766	0.1776	0.7757		0.5407	0.253	0.364	0.187	0.861	0.390	0.888	0.4375	0.1818	1.0000
30	0.3063	0.193	0.316	0.140	0.874	0.682	0.739	0.5374	0.4299	0.6449		0.8215	0.122	0.218	0.045	0.986	0.982	0.415	0.3125	0.0000	1.0000
35	0.2647	0.180	0.343	0.137	0.917	0.774	0.791	0.4439	0.4299	0.4579		0.4959	0.190	0.293	0.165	0.954	0.942	0.734	0.5000	0.3636	0.8000
40	0.2505	0.215	0.358	0.167	0.885	0.738	0.771	0.4626	0.5234	0.4019		0.5796	0.221	0.320	0.181	0.978	0.859	0.635	0.4375	0.3636	0.6000
45	0.2510	0.217	0.368	0.168	0.866	0.821	0.685	0.4486	0.2897	0.6075		0.4621	0.246	0.390	0.168	0.976	0.530	0.868	0.4375	0.2727	0.8000
50	0.2459	0.216	0.333	0.151	0.879	0.866	0.668	0.4206	0.2897	0.5514		0.4742	0.298	0.383	0.185	0.954	0.774	0.809	0.4375	0.3636	0.6000
55	0.2240	0.213	0.347	0.166	0.897	0.789	0.755	0.5234	0.3832	0.6636		0.3885	0.274	0.440	0.198	0.896	0.747	0.853	0.5000	0.5455	0.4000
60	0.2231	0.228	0.375	0.153	0.872	0.847	0.680	0.4579	0.2991	0.6168		0.4896	0.306	0.342	0.238	0.894	0.713	0.891	0.5000	0.6364	0.2000
65	0.2164	0.215	0.364	0.152	0.888	0.794	0.772	0.4953	0.4860	0.5047		0.4880	0.287	0.350	0.183	0.947	0.774	0.820	0.4375	0.5455	0.2000
70	0.2041	0.213	0.359	0.152	0.923	0.824	0.776	0.4112	0.4486	0.3738		0.4803	0.262	0.341	0.217	0.957	0.927	0.579	0.3750	0.4545	0.2000
75	0.2057	0.212	0.357	0.164	0.874	0.782	0.742	0.4907	0.4486	0.5327		0.5139	0.269	0.360	0.169	0.913	0.832	0.774	0.1875	0.1818	0.2000
80	0.1829	0.224	0.360	0.167	0.905	0.842	0.798	0.4907	0.5140	0.4673		0.4579	0.291	0.465	0.189	0.925	0.731	0.773	0.4375	0.4545	0.4000
85	0.1906	0.229	0.390	0.153	0.885	0.875	0.758	0.4813	0.5421	0.4206		0.5658	0.322	0.367	0.186	0.869	0.521	0.825	0.5000	0.6364	0.2000
90	0.1725	0.246	0.380	0.179	0.868	0.839	0.754	0.4439	0.2991	0.5888		0.6818	0.339	0.287	0.223	0.862	0.498	0.832	0.5625	0.4545	0.8000
95	0.1922	0.211	0.377	0.148	0.917	0.827	0.808	0.4766	0.3925	0.5607		0.3956	0.323	0.419	0.252	0.837	0.666	0.776	0.5625	0.4545	0.8000
100	0.1871	0.212	0.323	0.168	0.923	0.878	0.828	0.4860	0.4112	0.5607		0.4476	0.255	0.376	0.197	0.856	0.774	0.694	0.5000	0.3636	0.8000
105	0.1866	0.228	0.341	0.169	0.870	0.826	0.741	0.4907	0.4486	0.5327		0.4143	0.305	0.406	0.233	0.935	0.694	0.809	0.5000	0.4545	0.6000
110	0.1834	0.231	0.350	0.164	0.870	0.776	0.753	0.4953	0.4299	0.5607		0.4290	0.242	0.360	0.236	0.931	0.848	0.761	0.6250	0.5455	0.8000
115	0.1475	0.243	0.370	0.182	0.884	0.793	0.786	0.4579	0.3271	0.5888		0.3265	0.273	0.393	0.229	0.925	0.852	0.792	0.6250	0.5455	0.8000
